"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"1","ENSMUSP00000137123","ENSMUSG00000030592","Ryr1",0.53894948044788,0.184998480138647,1.02187604058426e-11,0.0134580925232599,TRUE
"2","ENSMUSP00000109237","ENSMUSG00000030058","Copg1",0.17845452090999,0.15749290093534,0.0170619799434187,0.0349617171004499,TRUE
"3","ENSMUSP00000121201","ENSMUSG00000021998","Lcp1",0.216260834295462,0.339452857402297,0.00397297121925629,8.62171561290642e-06,TRUE
"4","ENSMUSP00000109693","ENSMUSG00000016382","Pls3",0.151757142667741,0.503223380220779,0.0420642394344595,1.54444095378765e-10,TRUE
"5","ENSMUSP00000091317","ENSMUSG00000049493","Pls1",0.200870035068214,0.333408912878684,0.00737408889155479,1.2200160143572e-05,TRUE
"6","ENSMUSP00000003575","ENSMUSG00000031799","Tpm4",0.248882097346604,0.232061870747817,0.000957360379580175,0.00203209643581289,TRUE
"7","ENSMUSP00000101704","ENSMUSG00000025477","Inpp5a",0.176098905330674,0.198696722395162,0.018554576969835,0.00802474537685978,TRUE
"8","ENSMUSP00000103478","ENSMUSG00000028478","Clta",0.185235131876521,0.319265090006225,0.0133415314965659,2.70097097012109e-05,TRUE
"9","ENSMUSP00000021554","ENSMUSG00000015143","Actn1",0.186932429585257,0.236679339153217,0.0125315781140451,0.00165935031702552,TRUE
"10","ENSMUSP00000123605","ENSMUSG00000076432","Ywhaq",0.15071894661243,0.273524500895156,0.0434734785473946,0.000296031381891693,TRUE
"11","ENSMUSP00000131991","ENSMUSG00000091898","Tnnc1",0.149658765515172,0.638854608643456,0.0449538605159111,3.22097297888211e-15,TRUE
"12","ENSMUSP00000040244","ENSMUSG00000029762","Akr1b8",0.355950556422904,0.147518894957074,3.26786501007479e-06,0.048072725433937,TRUE
"13","ENSMUSP00000060246","ENSMUSG00000058672","Tubb2a",0.189774415367377,0.376490458204555,0.0112732707871853,9.33764933802706e-07,TRUE
"14","ENSMUSP00000063416","ENSMUSG00000030972","Acsm5",0.293676068836648,0.457368471502419,0.000106639607117957,4.31301224971702e-09,TRUE
"15","ENSMUSP00000031565","ENSMUSG00000029581","Fscn1",0.183906079906144,0.215574363344782,0.0140079889725369,0.00408707510014101,TRUE
"16","ENSMUSP00000048350","ENSMUSG00000034993","Vat1",0.485837041903933,0.326672539968866,5.57779879110406e-10,1.78692418345229e-05,TRUE
"17","ENSMUSP00000031160","ENSMUSG00000029247","Paics",0.183358003474561,0.27757342365336,0.0142913434990282,0.00024218067126458,TRUE
"18","ENSMUSP00000025718","ENSMUSG00000024803","Ankrd1",0.282706695292902,0.339589918211718,0.000187159311074042,8.55366193464903e-06,TRUE
"19","ENSMUSP00000077074","ENSMUSG00000058952","Cfi",0.229607642622553,0.182051596531653,0.00226040094950868,0.0149874088154039,TRUE
"20","ENSMUSP00000013304","ENSMUSG00000013160","Atp6v0d1",0.151907269119161,0.264098615486972,0.0418637198798194,0.000468374633119901,TRUE
"21","ENSMUSP00000029489","ENSMUSG00000027890","Gstm4",0.206504431264911,0.435544616497771,0.0059035220682163,1.96584594270986e-08,TRUE
"22","ENSMUSP00000091435","ENSMUSG00000059248","Sept9",0.265692437000392,0.21145021980518,0.000433781405791457,0.00483803806859851,TRUE
