"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"1","ENSMUSP00000011058","ENSMUSG00000010914","Pdhx",0.155966054068476,-0.251928475403717,0.036743556823664,0.000831824626338418,TRUE
"2","ENSMUSP00000099922","ENSMUSG00000040907","Atp1a3",0.342830003727731,-0.151609582859604,7.08768164370051e-06,0.0422621287660483,TRUE
"3","ENSMUSP00000120106","ENSMUSG00000006412","Pfdn2",0.148106156953033,-0.202278118024496,0.0471990564685016,0.00697840268220558,TRUE
"4","ENSMUSP00000138396","ENSMUSG00000097148","Gm3839",0.249309042826169,-0.450245947697931,0.000938758992759819,7.11155125386289e-09,TRUE
"5","ENSMUSP00000071134","ENSMUSG00000062380","Tubb3",0.151175004514125,-0.58469007444105,0.0428495517159333,2.75521196669115e-13,TRUE
"6","ENSMUSP00000001566","ENSMUSG00000001525","Tubb5",0.178981446195279,-0.482532155796975,0.0167430127400441,7.09905157040652e-10,TRUE
"7","ENSMUSP00000020286","ENSMUSG00000020089","Ppa1",0.180861437255094,-0.305537453961137,0.0156475789740252,5.70202554334247e-05,TRUE
"8","ENSMUSP00000032934","ENSMUSG00000030695","Aldoa",0.167034223334923,-0.369700620300919,0.0254261910789191,1.42042042906735e-06,TRUE
"9","ENSMUSP00000034264","ENSMUSG00000031807","Pgls",0.152209270393726,-0.355855024248796,0.0414628156324598,3.28658223919076e-06,TRUE
"10","ENSMUSP00000095169","ENSMUSG00000026421","Csrp1",0.223635927246072,-0.326018360554695,0.00291839163368417,1.85383467801798e-05,TRUE
"11","ENSMUSP00000004378","ENSMUSG00000004267","Eno2",0.364509929343455,-0.298053653852726,1.95046693406691e-06,8.48208468170518e-05,TRUE
"12","ENSMUSP00000114361","ENSMUSG00000063524","Eno1",0.301837558628834,-0.411010373743876,6.94532813520964e-05,1.02236642887282e-07,TRUE
"13","ENSMUSP00000016463","ENSMUSG00000016319","Slc25a5",0.220152377360004,-0.211359780855568,0.00337945505530698,0.00485583337437475,TRUE
"14","ENSMUSP00000039844","ENSMUSG00000025228","Actr1a",0.181550305196926,-0.273127342871563,0.0152623941706021,0.000301883377615822,TRUE
"15","ENSMUSP00000030340","ENSMUSG00000028603","Scp2",0.180598977725415,-0.280160462679996,0.0157965883161127,0.00021277590085971,TRUE
"16","ENSMUSP00000024486","ENSMUSG00000023723","Mrps23",0.20357174972255,-0.19675468083926,0.0066319313157122,0.00864953842983696,TRUE
"17","ENSMUSP00000021595","ENSMUSG00000021178","Psmc1",0.171229550729812,-0.227459450102732,0.0220094889444185,0.00247944696188334,TRUE
"18","ENSMUSP00000102034","ENSMUSG00000050315","Synpo2",0.148634988120048,-0.197934058188502,0.0464238732456363,0.00826508216817446,TRUE
"19","ENSMUSP00000025439","ENSMUSG00000024556","Me2",0.231610808393715,-0.224499781953567,0.00207238706024865,0.00281338740509208,TRUE
