"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"1","ENSMUSP00000106970","ENSMUSG00000040549","Ckap5",-0.184068963445091,0.173133490164643,0.0139247477372534,0.020596566925386,TRUE
"2","ENSMUSP00000069432","ENSMUSG00000041638","Gcn1l1",-0.151309157726741,0.373173148616922,0.0426674776062889,1.14691289115244e-06,TRUE
"3","ENSMUSP00000051223","ENSMUSG00000051391","Ywhag",-0.185851933698555,0.153059969892693,0.0130419479115488,0.040351097837856,TRUE
"4","ENSMUSP00000137103","ENSMUSG00000078517","Emc1",-0.171377693965378,0.211997472034788,0.0218965779545649,0.00473162072433469,TRUE
"5","ENSMUSP00000129504","ENSMUSG00000022100","Xpo7",-0.148187240998109,0.314234977600193,0.0470794922441426,3.56155441488076e-05,TRUE
"6","ENSMUSP00000065000","ENSMUSG00000026930","Gpsm1",-0.147167671123836,0.312991652114251,0.048601759019378,3.81166827403534e-05,TRUE
"7","ENSMUSP00000028583","ENSMUSG00000027162","Lin7c",-0.182180723501332,0.22670819356649,0.0149172922920532,0.00256056149129002,TRUE
"8","ENSMUSP00000082459","ENSMUSG00000038239","Hrc",-0.186680447705661,0.28873927932071,0.0126489802436992,0.000137632303585389,TRUE
"9","ENSMUSP00000030243","ENSMUSG00000028518","Prkaa2",-0.175191237843774,0.164946212777617,0.0191597590794048,0.0272929572416963,TRUE
"10","ENSMUSP00000069257","ENSMUSG00000019907","Ppp1r12a",-0.167936739486766,0.203818724451778,0.0246544200227393,0.00656758493154423,TRUE
"11","ENSMUSP00000046788","ENSMUSG00000037234","Hook3",-0.239402097125086,0.167561332698593,0.00147038102236276,0.0249729217883095,TRUE
"12","ENSMUSP00000069549","ENSMUSG00000024290","Rock1",-0.199267323050652,0.292154641702842,0.00784907876995933,0.000115402311103077,TRUE
"13","ENSMUSP00000020420","ENSMUSG00000020198","Ap3d1",-0.225162202925441,0.268307366617165,0.00273523678309662,0.000382184683787168,TRUE
"14","ENSMUSP00000108011","ENSMUSG00000063870","Chd4",-0.198216969403074,0.350255010855467,0.00817518145728062,4.58481495855611e-06,TRUE
"15","ENSMUSP00000088801","ENSMUSG00000027668","Mfn1",-0.157622128668721,0.293722201396468,0.0348143803971073,0.000106384057516749,TRUE
"16","ENSMUSP00000045073","ENSMUSG00000033732","Sf3b3",-0.182232850301317,0.213343323615863,0.0148890698654697,0.00447893523684456,TRUE
"17","ENSMUSP00000125722","ENSMUSG00000021816","Ppp3cb",-0.148255249853508,0.799298136482341,0.0469794065010881,2.80880281134659e-21,TRUE
"18","ENSMUSP00000126730","ENSMUSG00000024924","Vldlr",-0.23578124692704,0.171050154894765,0.00172646566369071,0.0221469032623478,TRUE
