"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"1","ENSMUSP00000075377","ENSMUSG00000030319","Cand2",-0.158952822445847,-0.172961562425377,0.0333280530213504,0.0207207962924269,TRUE
"2","ENSMUSP00000020315","ENSMUSG00000020114","Cand1",-0.172351554723789,-0.201740426959472,0.0211668976683566,0.00712717275573582,TRUE
"3","ENSMUSP00000011934","ENSMUSG00000051747","Ttn",-0.19066800072681,-0.233805618919594,0.0109016924907499,0.00188305822285405,TRUE
"4","ENSMUSP00000039633","ENSMUSG00000052698","Tln2",-0.178941883051438,-0.388233681820828,0.0167667771695766,4.46492485429436e-07,TRUE
"5","ENSMUSP00000021750","ENSMUSG00000021313","Ryr2",-0.163624206046279,-0.214592392462059,0.0285355828219697,0.00425551371918803,TRUE
"6","ENSMUSP00000033662","ENSMUSG00000031299","Pdha1",-0.207638749653519,-0.36050177080041,0.00564185392669244,2.48631104108282e-06,TRUE
"7","ENSMUSP00000089680","ENSMUSG00000061315","Naca",-0.267436246424083,-0.417993776619877,0.000398694139525368,6.43453735025907e-08,TRUE
"8","ENSMUSP00000059404","ENSMUSG00000043991","Pura",-0.231228039640616,-0.254536010647226,0.00210715560342194,0.000736777640169032,TRUE
"9","ENSMUSP00000127903","ENSMUSG00000034088","Hdlbp",-0.202635985362843,-0.15255018825137,0.0068809514340281,0.0410141931540761,TRUE
"10","ENSMUSP00000103161","ENSMUSG00000025326","Ube3a",-0.155539765437501,-0.177168568393766,0.0372547563893245,0.0178630844325121,TRUE
"11","ENSMUSP00000084361","ENSMUSG00000026207","Speg",-0.310760267836062,-0.251074128511795,4.30327949957446e-05,0.00086538210404708,TRUE
"12","ENSMUSP00000129876","ENSMUSG00000021185","9030617O03Rik",-0.210384389133468,-0.361559830116474,0.00505158729822221,2.33242128773643e-06,TRUE
"13","ENSMUSP00000078589","ENSMUSG00000028639","Ybx1",-0.387029924761142,-0.626274018193321,4.8191128487365e-07,9.18715109641628e-15,TRUE
"14","ENSMUSP00000021458","ENSMUSG00000021061","Sptb",-0.226937062533987,-0.304258455177409,0.00253559458469345,6.10560717663773e-05,TRUE
"15","ENSMUSP00000032508","ENSMUSG00000030357","Fkbp4",-0.278869393235203,-0.3469623732267,0.000227000355729473,5.56635013889594e-06,TRUE
"16","ENSMUSP00000080538","ENSMUSG00000040752","Myh6",-0.282377364925816,-0.210322032219562,0.000190299799172492,0.0050643432161717,TRUE
"17","ENSMUSP00000090672","ENSMUSG00000074652","Myh7b",-0.295746713145152,-0.286716525274203,9.5725962222501e-05,0.000152656336858223,TRUE
"18","ENSMUSP00000120115","ENSMUSG00000059208","Hnrnpm",-0.172872455000355,-0.259092037595216,0.0207854411707607,0.000594678927048188,TRUE
"19","ENSMUSP00000048643","ENSMUSG00000038028","9630033F20Rik",-0.203681511070422,-0.220286702488815,0.00660326404676658,0.00336050317795259,TRUE
"20","ENSMUSP00000110729","ENSMUSG00000028973","Abcb8",-0.148854321457148,-0.297682528806702,0.0461055499620511,8.6491459877242e-05,TRUE
"21","ENSMUSP00000088263","ENSMUSG00000028093","Acp6",-0.183516799506181,-0.477168001027203,0.0142087262271801,1.04788489407449e-09,TRUE
"22","ENSMUSP00000038264","ENSMUSG00000061462","Obscn",-0.208019625419177,-0.292231882480341,0.00555638663749148,0.000114941414562568,TRUE
"23","ENSMUSP00000005826","ENSMUSG00000005683","Cs",-0.146765119074665,-0.359685640414488,0.0492141602315788,2.61168173096209e-06,TRUE
"24","ENSMUSP00000002839","ENSMUSG00000059409","Ppp2r5d",-0.205448787056154,-0.293396864639665,0.00615689897490057,0.000108198755437111,TRUE
"25","ENSMUSP00000103795","ENSMUSG00000018845","Unc45b",-0.332613266419876,-0.196554874364613,1.27664021967437e-05,0.00871624545001786,TRUE
"26","ENSMUSP00000090304","ENSMUSG00000019899","Lama2",-0.359697887789348,-0.486369083100308,2.60975589937867e-06,5.36491675017213e-10,TRUE
"27","ENSMUSP00000047564","ENSMUSG00000032648","Pygm",-0.154561789182576,-0.511433073259545,0.0384506450038849,8.34897802877316e-11,TRUE
"28","ENSMUSP00000099969","ENSMUSG00000090053","Palm2",-0.183782708175912,-0.240146264536301,0.0140713322342148,0.0014223275666487,TRUE
"29","ENSMUSP00000132778","ENSMUSG00000002900","Lamb1",-0.277342007992234,-0.496167792450937,0.000244990451330698,2.60871765469284e-10,TRUE
"30","ENSMUSP00000056715","ENSMUSG00000042605","Atxn2",-0.310487055110614,-0.239524612808548,4.36748354073232e-05,0.00146236741045099,TRUE
"31","ENSMUSP00000027123","ENSMUSG00000025980","Hspd1",-0.321001313887296,-0.553266971598863,2.45321685694135e-05,3.34947552150598e-12,TRUE
"32","ENSMUSP00000035110","ENSMUSG00000032523","Hhatl",-0.356385291221308,-0.202711193636602,3.18398306107099e-06,0.00686062880611691,TRUE
