"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000102288","Prkar1a","11","109.65953","9.7142","4.1496","5.5646"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000021049","Psmc5","11","106.259637","9.7142","4.1089","5.6053"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000062392","Prkca","11","108.138658","9.7142","4.0308","5.6834"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000001055","Icam2","11","106.382866","9.7142","4.4643","5.2499"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000001963","Ace","11","105.978954","9.7142","4.0627","5.6515"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000102408","Pecam1","11","106.702422","9.7142","4.2235","5.4907"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000021063","Psmd12","11","107.491923","9.7142","4.0417","5.6725"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000002048","Taco1","11","106.069836","9.7142","4.0046","5.7096"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020930","Gna13","11","109.3821","9.7142","4.1099","5.6043"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000021062","Ddx5","11","106.78477","9.7142","3.921","5.7932"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000000049","Apoh","11","108.378875","9.7142","4.1981","5.5161"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000102213","Rpl38","11","114.670428","9.7142","4.077","5.6372"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020949","Map2k6","11","110.462322","9.7142","1.8552","7.859"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000133315","Icam2","11","106.382866","9.7142","3.3714","6.3428"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000018506","Kpna2","11","106.994085","9.7142","3.7308","5.9834"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000002043","Ccdc47","11","106.206876","9.7142","3.6293","6.0849"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000036338","Abca9","11","110.134472","9.7142","4.8123","4.9019"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020948","Abca8b","11","109.964018","9.7142","3.1013","6.6129"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000097860","Abca8a","11","110.060806","9.7142","3.385","6.3292"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000021046","Ddx42","11","106.233032","9.7142","2.156","7.5582"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000058168","Dcaf7","11","106.048098","9.7142","1.7983","7.9159"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000021060","Polg2","11","106.773895","9.7142","3.0358","6.6784"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000099353","Pitpnc1","11","107.339296","9.7142","2.1123","7.6019"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000099349","Wipi1","11","109.592649","9.7142","4.6382","5.076"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000053033","Mrps7","11","115.60598","8.8012","1.2327","7.5685"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000063325","Acox1","11","116.185466","8.8012","1.1534","7.6478"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000033230","Tha1","11","117.870716","8.8012","1.2397","7.5615"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000080791","Ube2o","11","116.559594","8.8012","1.2776","7.5236"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102288","Prkar1a","11","109.65953","8.8012","1.3758","7.4254"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000091435","Sept9","11","117.280993","8.8012","1.2531","7.5481"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000074204","Wbp2","11","116.082784","8.8012","1.3005","7.5007"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102104","Grb2","11","115.676321","8.8012","1.2907","7.5105"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000062392","Prkca","11","108.138658","8.8012","1.2309","7.5703"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021114","Galk1","11","116.010588","8.8012","1.2485","7.5527"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000101999","Prpsap1","11","116.482524","8.8012","1.2739","7.5273"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102147","Atp5h","11","115.417826","8.8012","1.208","7.5932"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021133","Srp68","11","116.259692","8.8012","1.2477","7.5535"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000020930","Gna13","11","109.3821","8.8012","1.1934","7.6078"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102047","Mrpl38","11","116.135342","8.8012","1.1852","7.616"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000000049","Apoh","11","108.378875","8.8012","1.1663","7.6349"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021078","Fdxr","11","115.272537","8.8012","1.2155","7.5857"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021166","Cygb","11","116.649954","8.8012","1.218","7.5832"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000090059","Srsf2","11","116.851498","8.8012","1.3182","7.483"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102213","Rpl38","11","114.670428","8.8012","1.2407","7.5605"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021082","Nt5c","11","115.491141","8.8012","1.1537","7.6475"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102062","H3f3b","11","116.024937","8.8012","1.2867","7.5145"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000115044","Sumo2","11","115.529689","8.8012","1.2364","7.5648"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000020949","Map2k6","11","110.462322","8.8012","1.6158","7.1854"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021077","Slc9a3r1","11","115.172261","8.8012","1.0219","7.7793"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000041328","Caskin2","11","115.806411","8.8012","2.3717","6.4295"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102019","Exoc7","11","116.297617","8.8012","1.3948","7.4064"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000137534","Slc25a19","11","115.621236","8.8012","1.6798","7.1214"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000036338","Abca9","11","110.134472","8.8012","2.6225","6.1787"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000020948","Abca8b","11","109.964018","8.8012","1.5844","7.2168"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000097860","Abca8a","11","110.060806","8.8012","2.1205","6.6807"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000138597","Gga3","11","115.594153","8.8012","3.7141","5.0871"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000134251","Cdk3-ps","11","116.218145","8.8012","1.0324","7.7688"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000021170","Mxra7","11","116.815554","8.8012","1.4779","7.3233"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000099349","Wipi1","11","109.592649","8.8012","1.3218","7.4794"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000102288","Prkar1a","11","109.65953","8.7774","1.3673","7.4101"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000021049","Psmc5","11","106.259637","8.7774","1.3556","7.4218"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000062392","Prkca","11","108.138658","8.7774","1.3835","7.3939"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000001055","Icam2","11","106.382866","8.7774","1.4419","7.3355"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000001963","Ace","11","105.978954","8.7774","1.3395","7.4379"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000102408","Pecam1","11","106.702422","8.7774","1.522","7.2554"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000021063","Psmd12","11","107.491923","8.7774","1.4516","7.3258"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000002048","Taco1","11","106.069836","8.7774","1.3638","7.4136"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000020930","Gna13","11","109.3821","8.7774","1.385","7.3924"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000021062","Ddx5","11","106.78477","8.7774","1.3691","7.4083"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000000049","Apoh","11","108.378875","8.7774","1.3617","7.4157"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000102213","Rpl38","11","114.670428","8.7774","1.3455","7.4319"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000020949","Map2k6","11","110.462322","8.7774","0.8443","7.9331"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000133315","Icam2","11","106.382866","8.7774","1.1177","7.6597"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000018506","Kpna2","11","106.994085","8.7774","2.186","6.5914"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000002043","Ccdc47","11","106.206876","8.7774","1.6014","7.176"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000036338","Abca9","11","110.134472","8.7774","1.6995","7.0779"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000020948","Abca8b","11","109.964018","8.7774","1.8077","6.9697"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000097860","Abca8a","11","110.060806","8.7774","1.8614","6.916"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000021046","Ddx42","11","106.233032","8.7774","1.0614","7.716"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000058168","Dcaf7","11","106.048098","8.7774","2.9392","5.8382"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000021060","Polg2","11","106.773895","8.7774","2.3304","6.447"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000099353","Pitpnc1","11","107.339296","8.7774","1.5107","7.2667"
"ENSMUSG00000072568","Fam84b","11","110.155804","ENSMUSP00000099349","Wipi1","11","109.592649","8.7774","1.2288","7.5486"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000053033","Mrps7","11","115.60598","8.5084","1.4429","7.0655"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000063325","Acox1","11","116.185466","8.5084","1.4889","7.0195"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000080791","Ube2o","11","116.559594","8.5084","1.4939","7.0145"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102288","Prkar1a","11","109.65953","8.5084","1.3508","7.1576"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000091435","Sept9","11","117.280993","8.5084","1.4996","7.0088"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000074204","Wbp2","11","116.082784","8.5084","1.5303","6.9781"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102104","Grb2","11","115.676321","8.5084","1.5319","6.9765"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000062392","Prkca","11","108.138658","8.5084","1.4537","7.0547"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021114","Galk1","11","116.010588","8.5084","1.5055","7.0029"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000101999","Prpsap1","11","116.482524","8.5084","1.8095","6.6989"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102147","Atp5h","11","115.417826","8.5084","1.4832","7.0252"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021063","Psmd12","11","107.491923","8.5084","1.5566","6.9518"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021133","Srp68","11","116.259692","8.5084","1.65","6.8584"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000020930","Gna13","11","109.3821","8.5084","1.5363","6.9721"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102047","Mrpl38","11","116.135342","8.5084","1.5067","7.0017"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000000049","Apoh","11","108.378875","8.5084","1.4825","7.0259"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021078","Fdxr","11","115.272537","8.5084","1.3716","7.1368"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021166","Cygb","11","116.649954","8.5084","1.3305","7.1779"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000090059","Srsf2","11","116.851498","8.5084","1.5585","6.9499"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102213","Rpl38","11","114.670428","8.5084","1.7505","6.7579"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021082","Nt5c","11","115.491141","8.5084","1.3434","7.165"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102062","H3f3b","11","116.024937","8.5084","1.49","7.0184"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000115044","Sumo2","11","115.529689","8.5084","1.4902","7.0182"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000020949","Map2k6","11","110.462322","8.5084","0.7349","7.7735"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021077","Slc9a3r1","11","115.172261","8.5084","1.3195","7.1889"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000041328","Caskin2","11","115.806411","8.5084","2.5193","5.9891"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000102019","Exoc7","11","116.297617","8.5084","2.6085","5.8999"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000137534","Slc25a19","11","115.621236","8.5084","2.5471","5.9613"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000036338","Abca9","11","110.134472","8.5084","2.1758","6.3326"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000020948","Abca8b","11","109.964018","8.5084","1.3822","7.1262"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000097860","Abca8a","11","110.060806","8.5084","2.7305","5.7779"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000138597","Gga3","11","115.594153","8.5084","2.6918","5.8166"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000134251","Cdk3-ps","11","116.218145","8.5084","1.5534","6.955"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000021170","Mxra7","11","116.815554","8.5084","2.305","6.2034"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000099353","Pitpnc1","11","107.339296","8.5084","0.6965","7.8119"
"ENSMUSG00000033327","Tnxb","11","112.434047","ENSMUSP00000099349","Wipi1","11","109.592649","8.5084","1.3508","7.1576"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000053033","Mrps7","11","115.60598","8.3647","2.9107","5.454"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000063325","Acox1","11","116.185466","8.3647","2.9474","5.4173"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000080791","Ube2o","11","116.559594","8.3647","2.6832","5.6815"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102288","Prkar1a","11","109.65953","8.3647","3.0026","5.3621"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000074204","Wbp2","11","116.082784","8.3647","3.0919","5.2728"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102104","Grb2","11","115.676321","8.3647","3.0164","5.3483"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000062392","Prkca","11","108.138658","8.3647","2.9653","5.3994"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021114","Galk1","11","116.010588","8.3647","3.0361","5.3286"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000101999","Prpsap1","11","116.482524","8.3647","3.0581","5.3066"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102147","Atp5h","11","115.417826","8.3647","3.0133","5.3514"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021063","Psmd12","11","107.491923","8.3647","3.0337","5.331"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021133","Srp68","11","116.259692","8.3647","2.9705","5.3942"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000020930","Gna13","11","109.3821","8.3647","3.2271","5.1376"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102047","Mrpl38","11","116.135342","8.3647","2.9922","5.3725"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000000049","Apoh","11","108.378875","8.3647","2.89","5.4747"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021078","Fdxr","11","115.272537","8.3647","2.9599","5.4048"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021166","Cygb","11","116.649954","8.3647","3.1265","5.2382"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000090059","Srsf2","11","116.851498","8.3647","2.7886","5.5761"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102213","Rpl38","11","114.670428","8.3647","2.2252","6.1395"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000021082","Nt5c","11","115.491141","8.3647","3.2582","5.1065"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000102062","H3f3b","11","116.024937","8.3647","3.0255","5.3392"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000115044","Sumo2","11","115.529689","8.3647","2.9317","5.433"
"ENSMUSG00000030619","Eed","11","112.18768","ENSMUSP00000020949","Map2k6","11","110.462322","8.3647","2.625","5.7397"
