"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030239","myofibril assembly","4/17","42/3861",2.5999621728797e-05,0.0113358350737555,0.00952407195960144,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0010927","cellular component assembly involved in morphogenesis","4/17","52/3861",6.12029325500788e-05,0.0133422392959172,0.0112098002775934,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0055008","cardiac muscle tissue morphogenesis","3/17","25/3861",0.000153666956620138,0.0151063064555054,0.0126919233377979,"Ttn/Mybpc3/Actc1",3
"GO:0048644","muscle organ morphogenesis","3/17","26/3861",0.000173237459352126,0.0151063064555054,0.0126919233377979,"Ttn/Mybpc3/Actc1",3
"GO:0060415","muscle tissue morphogenesis","3/17","26/3861",0.000173237459352126,0.0151063064555054,0.0126919233377979,"Ttn/Mybpc3/Actc1",3
"GO:0045214","sarcomere organization","3/17","30/3861",0.000267582350914997,0.0194443174998231,0.0163366066874419,"Ttn/Myom1/Mybpc3",3
"GO:0006941","striated muscle contraction","4/17","82/3861",0.000364459802789349,0.0227006391451652,0.0190724829128863,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0031032","actomyosin structure organization","4/17","85/3861",0.000418483509231141,0.0228073512530972,0.0191621396332154,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0055002","striated muscle cell development","4/17","90/3861",0.000520968238946987,0.0252380169089874,0.021204321304509,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0048024","regulation of mRNA splicing, via spliceosome","3/17","39/3861",0.000587719981990444,0.0256245912147834,0.0215291109192289,"Hnrnpa2b1/Srsf2/Rbm8a",3
"GO:0055001","muscle cell development","4/17","96/3861",0.000666323493027099,0.0264106402690741,0.0221895287630077,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0010737","protein kinase A signaling","2/17","11/3861",0.000980636428856746,0.0351363473280475,0.0295206394740718,"Ttn/Myom1",2
"GO:0050684","regulation of mRNA processing","3/17","49/3861",0.00115294782947977,0.0351363473280475,0.0295206394740718,"Hnrnpa2b1/Srsf2/Rbm8a",3
"GO:0010629","negative regulation of gene expression","6/17","298/3861",0.00119897595171172,0.0351363473280475,0.0295206394740718,"Ncl/Hnrnpa2b1/Hdgf/Caprin1/Cbx3/Rbm8a",6
"GO:0051146","striated muscle cell differentiation","4/17","115/3861",0.00131667258326711,0.0351363473280475,0.0295206394740718,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0006936","muscle contraction","4/17","118/3861",0.00144959271393611,0.0351363473280475,0.0295206394740718,"Ttn/Myom1/Mybpc3/Actc1",4
"GO:0017148","negative regulation of translation","3/17","53/3861",0.00145005648789165,0.0351363473280475,0.0295206394740718,"Ncl/Hnrnpa2b1/Caprin1",3
"GO:0003007","heart morphogenesis","3/17","54/3861",0.00153117109915803,0.0351363473280475,0.0295206394740718,"Ttn/Mybpc3/Actc1",3
"GO:0043484","regulation of RNA splicing","3/17","54/3861",0.00153117109915803,0.0351363473280475,0.0295206394740718,"Hnrnpa2b1/Srsf2/Rbm8a",3
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process","5/17","213/3861",0.00174753408418065,0.0380962430351382,0.0320074663839404,"Ncl/Hnrnpa2b1/Hdgf/Caprin1/Cbx3",5
"GO:0034249","negative regulation of cellular amide metabolic process","3/17","58/3861",0.00188409298783935,0.0391173591760932,0.0328653814420097,"Ncl/Hnrnpa2b1/Caprin1",3
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","2/17","16/3861",0.00211203188780896,0.0418566319583957,0.0351668467443788,"Srsf2/Rbm8a",2
"GO:0010558","negative regulation of macromolecule biosynthetic process","5/17","226/3861",0.00227585792433158,0.0431423502177639,0.0362470735774549,"Ncl/Hnrnpa2b1/Hdgf/Caprin1/Cbx3",5
"GO:0060048","cardiac muscle contraction","3/17","65/3861",0.0026166821332074,0.047536392086601,0.0399388325594813,"Ttn/Mybpc3/Actc1",3
"GO:0031327","negative regulation of cellular biosynthetic process","5/17","236/3861",0.00275641049790265,0.0480717990834222,0.0403886675061104,"Ncl/Hnrnpa2b1/Hdgf/Caprin1/Cbx3",5
