"lodcolumn","gene_id","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSP00000089350","ENSMUSG00000094338","Hist1h2bl","13",21.715763,21.715953,21.716143,"3",130.171168,"UNC6237569",10.7451635694648,FALSE
"ENSMUSP00000045201","ENSMUSG00000029578","Wipi2","5",142.629542,142.650065,142.670588,"6",125.654597,"JAX00146427",10.3344082388251,FALSE
"ENSMUSP00000104329","ENSMUSG00000020908","Myh3","11",67.0783,67.090296,67.102291,"3",147.43051,"UNC6490313",10.2666775338714,FALSE
"ENSMUSP00000075772","ENSMUSG00000022565","Plec","15",76.170974,76.201774,76.232574,"3",147.295992,"UNC6488545",10.2454996521909,FALSE
"ENSMUSP00000022960","ENSMUSG00000022336","Eif3e","15",43.25004,43.266388,43.282736,"4",138.135114,"UNC8323552",10.0701600703566,FALSE
"ENSMUSP00000046538","ENSMUSG00000039050","Osbpl2","2",180.119306,180.140993,180.16268,"9",85.985555,"UNC16798286",10.0680046676563,FALSE
"ENSMUSP00000080538","ENSMUSG00000040752","Myh6","14",54.941921,54.954424,54.966927,"3",146.809151,"UNC6481537",10.049578549188,FALSE
"ENSMUSP00000003521","ENSMUSG00000003429","Rps11","7",45.122388,45.123388,45.124389,"3",147.102508,"UNC6485950",10.0068665249997,FALSE
"ENSMUSP00000002551","ENSMUSG00000002477","Snrpd1","18",10.617796,10.623013,10.62823,"7",11.701512,"backupUNC070619888",9.89232722483401,FALSE
"ENSMUSP00000023670","ENSMUSG00000022949","Clic6","16",92.485736,92.51349,92.541243,"9",112.974964,"UNC17152476",9.84570936105575,FALSE
"ENSMUSP00000079672","ENSMUSG00000062997","Rpl35","2",39.00158,39.003602,39.005624,"3",146.374133,"UNC6475139",9.84056259452128,FALSE
"ENSMUSP00000105112","ENSMUSG00000027652","Ralgapb","2",158.409848,158.45455,158.499253,"14",46.482383,"UNC23950358",9.78061120453521,FALSE
"ENSMUSP00000019405","ENSMUSG00000019261","Map1s","8",70.905974,70.91175,70.917526,"8",64.153775,"UNC14892403",9.77813392338171,FALSE
"ENSMUSP00000023489","ENSMUSG00000022800","Fyttd1","16",32.8775,32.893232,32.908963,"9",95.313155,"UNC16915206",9.72501967105936,FALSE
