"gene.id","protein.id","symbol","chr","start","end","r.raw","r.sex_adj","r.age_adj"
"ENSMUSG00000015357","ENSMUSP00000015501","Clpx",9,65294260,65330658,0.290144404390963,0.251966629344269,0.32110725986212
"ENSMUSG00000032737","ENSMUSP00000132883","Inppl1",7,101822633,101838226,0.156594712229422,0.13639315960048,0.23421151643692
"ENSMUSG00000026670","ENSMUSP00000106982","Uap1",1,170141938,170174957,0.293870923077837,0.392078851298525,0.392489441752249
"ENSMUSG00000005625","ENSMUSP00000102857","Psmd4",3,95032694,95042614,0.00409762435676361,0.00305656965283459,0.00882068115764442
"ENSMUSG00000046756","ENSMUSP00000053033","Mrps7",11,115603925,115608036,0.0806094692696077,0.0949698795152342,0.0923102196794444
"ENSMUSG00000030319","ENSMUSP00000075377","Cand2",6,115774538,115804893,0.254513893097086,0.232350639492009,0.24690741588607
"ENSMUSG00000020114","ENSMUSP00000020315","Cand1",10,119199255,119240055,0.267511793778348,0.216295930513573,0.24645912410639
"ENSMUSG00000051747","ENSMUSP00000011934","Ttn",2,76703980,76982547,-0.0955844603032923,-0.0926869179016245,-0.149292384892104
"ENSMUSG00000051747","ENSMUSP00000097561","Ttn",2,76703980,76982547,-0.098929653214423,-0.0988996010936619,-0.132801892497586
"ENSMUSG00000051747","ENSMUSP00000097560","Ttn",2,76703980,76982547,-0.0951885382934751,-0.0830228756239269,-0.127766674590124
"ENSMUSG00000027012","ENSMUSP00000107770","Dync1i2",2,71211706,71263303,0.0238531100479028,0.026961466064088,0.0503914314662616
"ENSMUSG00000026489","ENSMUSP00000027766","Adck3",1,180165238,180199602,0.471767413000542,0.486565458836783,0.52227496126297
"ENSMUSG00000031143","ENSMUSP00000033483","Ccdc22",20,7593809,7605517,0.0509283621966899,0.0403896395114025,0.0207176226873589
"ENSMUSG00000058013","ENSMUSP00000074293","Sept11",5,93093457,93174958,0.259930054137011,0.245682068561064,0.296204642678509
"ENSMUSG00000001833","ENSMUSP00000110927","Sept7",9,25252439,25308571,-0.0788906280841058,-0.0160963580986952,-0.0335810840128605
"ENSMUSG00000020486","ENSMUSP00000103596","Sept4",11,87568903,87590539,0.0995712221439674,0.0690692637761573,0.0864888483650644
"ENSMUSG00000018398","ENSMUSP00000104615","Sept8",11,53519257,53549565,-0.0045842131630165,0.0228934719290212,0.0739343387865717
"ENSMUSG00000026526","ENSMUSP00000027810","Fh1",1,175600374,175625635,0.29432890890231,0.261023913189021,0.239704512290827
"ENSMUSG00000031461","ENSMUSP00000033842","Myom2",8,15057653,15133541,-0.0332010830033966,-0.000959186515101511,0.0520548047399247
"ENSMUSG00000028465","ENSMUSP00000030187","Tln1",4,43531519,43562691,0.100522583381995,0.12640173825266,0.120382227073476
"ENSMUSG00000052698","ENSMUSP00000039633","Tln2",9,67217087,67559703,0.217251087539115,0.249337509398419,0.18118888591629
"ENSMUSG00000062328","ENSMUSP00000078654","Rpl17",18,75000477,75003381,0.0320997145814937,0.0702894708369528,0.096041739667919
"ENSMUSG00000022752","ENSMUSP00000129186","Tomm70a",16,57121714,57154530,0.203446760743485,0.184945138843475,0.248565594916121
"ENSMUSG00000036975","ENSMUSP00000042416","Tmem177",1,119907890,119913208,0.0694926461375189,0.121746721304534,0.112158787193202
"ENSMUSG00000040659","ENSMUSP00000044502","Efhd2",4,141858142,141874920,0.550774482770383,0.532385796758522,0.551783939621331
"ENSMUSG00000040648","ENSMUSP00000043401","Ppip5k2",1,97706048,97770411,0.535803334344205,0.586358285466251,0.59391456403967
"ENSMUSG00000020375","ENSMUSP00000020643","Rufy1",11,50389286,50431125,0.434036029896509,0.470451633759926,0.478239233786326
