"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000102288","Prkar1a","11","109.65953","9.7142","4.1496","5.5646"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000062392","Prkca","11","108.138658","9.7142","4.0308","5.6834"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020930","Gna13","11","109.3821","9.7142","4.1099","5.6043"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000000049","Apoh","11","108.378875","9.7142","4.1981","5.5161"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020949","Map2k6","11","110.462322","9.7142","1.8552","7.859"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000036338","Abca9","11","110.134472","9.7142","4.8123","4.9019"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000020948","Abca8b","11","109.964018","9.7142","3.1013","6.6129"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000097860","Abca8a","11","110.060806","9.7142","3.385","6.3292"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSP00000099349","Wipi1","11","109.592649","9.7142","4.6382","5.076"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSP00000102213","Rpl38","11","114.670428","8.8012","1.2407","7.5605"
