"lodcolumn","gene_id","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSP00000077893","ENSMUSG00000058571","Gpc6","14",116.925297,117.452413,117.979529,"5",144.272593,"UNC10357729",10.4731959890668,FALSE
"ENSMUSP00000019862","ENSMUSG00000019718","L3hypdh","12",72.073428,72.079434,72.085439,"12",75.164988,"UNC21415496",10.3747588380856,TRUE
"ENSMUSP00000044548","ENSMUSG00000038374","Rbm8a","3",96.629928,96.631854,96.633779,"11",35.77327,"UNC19409144",10.3257070567329,FALSE
"ENSMUSP00000090360","ENSMUSG00000017176","Nt5c3b","11",100.422321,100.432064,100.441808,"10",111.624819,"UNC18722485",10.0595283830298,FALSE
"ENSMUSP00000102878","ENSMUSG00000097239","Gm27029","11",101.406692,101.415744,101.424796,"4",58.322585,"UNC7330906",10.0576648583547,FALSE
"ENSMUSP00000032597","ENSMUSG00000030432","Rpl28","7",4.792874,4.793718,4.794562,"3",148.421402,"UNC6504622",10.0233281530788,FALSE
"ENSMUSP00000022573","ENSMUSG00000021996","Esd","14",74.732297,74.741531,74.750765,"17",7.232724,"UNC27528538",9.97153686637014,FALSE
"ENSMUSP00000055455","ENSMUSG00000022742","Cpox","16",58.670208,58.6753,58.680391,"17",33.561421,"UNC27795280",9.94284162434909,FALSE
"ENSMUSP00000119829","ENSMUSG00000019868","Vta1","10",14.654755,14.680158,14.70556,"4",33.995127,"UNC7035827",9.91988554764891,FALSE
"ENSMUSP00000072264","ENSMUSG00000030483","Cyp2b10","7",25.89762,25.912122,25.926624,"10",69.619285,"JAX00292001",9.91136664695775,FALSE
"ENSMUSP00000038613","ENSMUSG00000033960","9430020K01Rik","18",4.634929,4.658898,4.682868,"19",25.619321,"UNC30116751",9.82867943206068,FALSE
"ENSMUSP00000044048","ENSMUSG00000038612","Mcl1","3",95.658721,95.660948,95.663176,"7",49.381944,"UNC12793559",9.79845206759661,FALSE
"ENSMUSP00000044004","ENSMUSG00000040249","Lrp1","10",127.538161,127.579654,127.621148,"1",90.368172,"UNC1125716",9.75848485989737,FALSE
"ENSMUSP00000115749","ENSMUSG00000038205","Prkab2","3",97.658193,97.666002,97.673812,"13",117.073999,"UNC23465594",9.68519379523094,FALSE
"ENSMUSP00000088456","ENSMUSG00000068921","Dap3","3",88.920803,88.935992,88.951181,"15",72.785459,"UNC25869929",9.52887099136238,FALSE
"ENSMUSP00000060940","ENSMUSG00000019864","Rtn4ip1","10",43.901807,43.924834,43.947862,"13",99.308451,"UNC23199751",9.44889523819906,FALSE
"ENSMUSP00000112642","ENSMUSG00000027075","Slc43a1","2",84.83885,84.851222,84.863594,"3",75.402481,"UNC5549545",9.41336168512035,FALSE
"ENSMUSP00000028199","ENSMUSG00000026848","Tor1b","2",30.952959,30.955987,30.959015,"10",44.766838,"JAX00017416",9.32636829491869,FALSE
"ENSMUSP00000088980","ENSMUSG00000026740","Dnajc1","2",18.195654,18.294242,18.39283,"4",14.57212,"UNC6776035",9.32564223964192,FALSE
"ENSMUSP00000077909","ENSMUSG00000071177","Serpina1d","12",103.763594,103.768593,103.773592,"17",47.452437,"UNC27946146",9.25783382374895,FALSE
"ENSMUSP00000032409","ENSMUSG00000030272","Camk1","6",113.334124,113.339054,113.343984,"7",36.599017,"UNC12634708",9.24677889515338,FALSE
"ENSMUSP00000023510","ENSMUSG00000022814","Umps","16",33.954782,33.96091,33.967038,"11",48.705093,"UNC19582103",9.24600193356879,FALSE
"ENSMUSP00000026243","ENSMUSG00000025220","Mgea5","19",45.750261,45.76689,45.78352,"19",43.577706,"UNC30358255",9.21927687592895,TRUE
"ENSMUSP00000033049","ENSMUSG00000030785","Cox6a2","7",128.205436,128.205901,128.206366,"14",36.526335,"UNC23862498",9.20517240270512,FALSE
"ENSMUSP00000020657","ENSMUSG00000020390","Ube2b","11",51.985497,51.99313,52.000762,"6",17.466786,"UNC10639421",9.19268761712002,FALSE
"ENSMUSP00000105112","ENSMUSG00000027652","Ralgapb","2",158.409848,158.45455,158.499253,"11",50.535191,"UNC19601135",9.18298621285863,FALSE
"ENSMUSP00000068971","ENSMUSG00000026715","Serpinc1","1",160.978606,160.990808,161.00301,"7",16.455041,"UNC12451181",9.17897084890381,FALSE
"ENSMUSP00000123412","ENSMUSG00000024048","Myl12a","17",70.993656,70.998267,71.002878,"6",135.021957,"JAX00627121",9.1526874211939,FALSE
"ENSMUSP00000080538","ENSMUSG00000040752","Myh6","14",54.941921,54.954424,54.966927,"12",98.295174,"UNC21716622",9.14613733286606,FALSE
"ENSMUSP00000077594","ENSMUSG00000021087","Rtn1","12",72.211752,72.310403,72.409054,"1",50.675738,"UNC645531",9.1424780153125,FALSE
"ENSMUSP00000027615","ENSMUSG00000026368","F13b","1",139.501707,139.512732,139.523756,"11",49.976548,"JAX00027255",9.1253704330785,FALSE
"ENSMUSP00000071589","ENSMUSG00000005625","Psmd4","3",95.032694,95.037654,95.042614,"17",11.421111,"backupUNC170018278",9.12048113143643,FALSE
"ENSMUSP00000047402","ENSMUSG00000040694","Apobec2","17",48.419231,48.42598,48.432728,"7",73.444836,"UNC13124688",9.08655437285916,FALSE
"ENSMUSP00000033025","ENSMUSG00000030763","Lcmt1","7",123.377982,123.40417,123.430358,"14",106.140656,"JAX00056961",9.06765549288891,FALSE
"ENSMUSP00000009693","ENSMUSG00000009549","Srp14","2",118.47585,118.47778,118.479711,"1",194.999951,"UNC2464526",9.05000185498276,FALSE
"ENSMUSP00000103557","ENSMUSG00000075700","Selt","3",58.576636,58.584884,58.593133,"10",26.434114,"UNC17625482",8.9779028116729,FALSE
"ENSMUSP00000102865","ENSMUSG00000008575","Nfib","4",82.290173,82.497962,82.70575,"19",57.356993,"UNC30563918",8.9518025995832,FALSE
"ENSMUSP00000010899","ENSMUSG00000010755","Cars","7",143.55723,143.57866,143.60009,"11",107.660675,"JAX00321174",8.93389850864108,FALSE
"ENSMUSP00000109767","ENSMUSG00000027520","Zdbf2","1",63.273265,63.29392,63.314576,"3",52.148481,"UNC5261025",8.91194644895441,FALSE
"ENSMUSP00000026387","ENSMUSG00000025337","Sbds","5",130.245731,130.25063,130.25553,"9",62.112453,"UNC16483397",8.89518853191676,FALSE
"ENSMUSP00000136002","ENSMUSG00000096146","Kcnj11","7",46.098725,46.099311,46.099897,"2",152.825537,"UNC4246464",8.86539924952645,FALSE
"ENSMUSP00000120516","ENSMUSG00000054256","Msi1","5",115.429599,115.442648,115.455698,"12",86.725679,"UNC21553992",8.8630539228688,FALSE
"ENSMUSP00000074702","ENSMUSG00000024331","Dsc2","18",20.030633,20.045094,20.059554,"7",46.711193,"UNC12748729",8.86094914428313,FALSE
"ENSMUSP00000021306","ENSMUSG00000020929","Eftud2","11",102.838473,102.859729,102.880985,"10",9.46241,"JAX00014777",8.86084134619316,FALSE
"ENSMUSP00000025228","ENSMUSG00000024370","Cdc23","18",34.630951,34.641343,34.651735,"3",150.15463,"UNC6525632",8.83312766524543,FALSE
"ENSMUSP00000034650","ENSMUSG00000032135","Mcam","9",44.134469,44.138598,44.142727,"12",99.559202,"UNC21734407",8.81658603680627,FALSE
"ENSMUSP00000046324","ENSMUSG00000033318","Gstt2","10",75.831845,75.833363,75.834881,"15",68.585289,"UNC25807332",8.80281546551297,FALSE
"ENSMUSP00000007865","ENSMUSG00000007721","Ccdc124","8",70.868227,70.870858,70.87349,"19",58.715653,"UNC30581347",8.79024066267553,FALSE
"ENSMUSP00000044048","ENSMUSG00000038612","Mcl1","3",95.658721,95.660948,95.663176,"17",56.241499,"JAX00442403",8.7685610031604,FALSE
"ENSMUSP00000098724","ENSMUSG00000021044","Adck1","12",88.360554,88.411136,88.461719,"11",112.123384,"UNC20403886",8.76709138858814,FALSE
"ENSMUSP00000074483","ENSMUSG00000045427","Hnrnph2","X",134.601179,134.60412,134.60706,"13",108.659329,"UNC23330323",8.75943107278435,FALSE
"ENSMUSP00000023361","ENSMUSG00000022680","Pdxdc1","16",13.833148,13.86814,13.903131,"X",64.88064,"UNC30904273",8.75893469738014,FALSE
"ENSMUSP00000025045","ENSMUSG00000024208","Uqcc2","17",27.122663,27.12829,27.133916,"13",116.998666,"UNC23464669",8.75446736415601,FALSE
"ENSMUSP00000043167","ENSMUSG00000034707","Gns","10",121.36509,121.381168,121.397245,"4",144.502914,"UNC8404368",8.75364468710582,FALSE
"ENSMUSP00000115615","ENSMUSG00000040752","Myh6","14",54.941921,54.954424,54.966927,"12",100.865146,"UNC21751906",8.75340034360277,FALSE
"ENSMUSP00000035163","ENSMUSG00000033688","1300017J02Rik","9",103.250522,103.277802,103.305082,"15",25.955482,"UNC25224290",8.74722031187609,FALSE
"ENSMUSP00000071078","ENSMUSG00000055681","Cope","8",70.302518,70.307756,70.312993,"X",73.998889,"UNC30965963",8.73137046472757,FALSE
"ENSMUSP00000001780","ENSMUSG00000001729","Akt1","12",112.653821,112.664352,112.674884,"3",117.121611,"UNC6042342",8.7041363993279,FALSE
"ENSMUSP00000018909","ENSMUSG00000018765","Fxr2","11",69.63299,69.643144,69.653297,"4",131.452837,"UNC8235093",8.7002613390232,FALSE
"ENSMUSP00000125620","ENSMUSG00000016194","Hsd11b1","1",193.22163,193.242842,193.264054,"9",45.102366,"UNC16279419",8.69573549819547,FALSE
"ENSMUSP00000135483","ENSMUSG00000025940","Tmem70","1",16.665207,16.671741,16.678275,"14",118.554159,"UNC24865089",8.68939962088674,FALSE
"ENSMUSP00000099820","ENSMUSG00000055371","Stam2","2",52.691664,52.716972,52.742281,"3",101.759503,"JAX00532078",8.68747066749229,FALSE
"ENSMUSP00000005017","ENSMUSG00000004897","Hdgf","3",87.906321,87.911226,87.916132,"11",35.534525,"UNC19404979",8.67806092148578,FALSE
"ENSMUSP00000087736","ENSMUSG00000068614","Actc1","2",114.047282,114.050415,114.053548,"11",36.130893,"UNC19414209",8.66673013406147,FALSE
"ENSMUSP00000018698","ENSMUSG00000018554","Ybx2","11",69.935796,69.9387,69.941605,"2",173.045844,"UNC4535122",8.6638346932728,FALSE
"ENSMUSP00000128770","ENSMUSG00000032294","Pkm","9",59.656368,59.667872,59.679375,"1",41.647001,"UNC528356",8.66141257778687,FALSE
"ENSMUSP00000030784","ENSMUSG00000028944","Prkag2","5",24.862744,24.981693,25.100642,"7",107.651201,"UNC13569788",8.65653074535979,FALSE
"ENSMUSP00000020107","ENSMUSG00000019943","Atp2b1","10",98.915152,98.970648,99.026143,"4",139.924895,"UNC8348167",8.6535964191417,FALSE
"ENSMUSP00000115402","ENSMUSG00000028790","Khdrbs1","4",129.703164,129.722734,129.742303,"5",127.686941,"UNC10126946",8.64773454190548,FALSE
"ENSMUSP00000066891","ENSMUSG00000009207","Lnp","2",74.520291,74.549863,74.579435,"10",127.670022,"UNC18962242",8.64605245510239,FALSE
"ENSMUSP00000113431","ENSMUSG00000005846","Rsl1d1","16",11.19297,11.19815,11.203331,"1",25.5299,"UNC309235",8.64586095603106,FALSE
"ENSMUSP00000046557","ENSMUSG00000036402","Gng12","6",66.896397,66.958874,67.02135,"4",32.201832,"JAX00117535",8.63859070031305,FALSE
"ENSMUSP00000032078","ENSMUSG00000030007","Cct7","6",85.451505,85.459991,85.468477,"2",113.116247,"UNC3769825",8.63375885438944,FALSE
"ENSMUSP00000023677","ENSMUSG00000022956","Atp5o","16",91.684398,91.808042,91.931687,"12",100.865146,"UNC21751906",8.62435877086162,FALSE
"ENSMUSP00000098918","ENSMUSG00000029780","Nt5c3","6",56.8824,56.903166,56.923932,"19",59.161987,"UNC30586125",8.6223776442014,FALSE
"ENSMUSP00000103080","ENSMUSG00000078670","Fam174b","7",73.740307,73.758613,73.776919,"5",118.797611,"JAX00134864",8.62140509020398,FALSE
"ENSMUSP00000110103","ENSMUSG00000004980","Hnrnpa2b1","6",51.460434,51.465164,51.469894,"11",35.558794,"UNC19405264",8.61066398871885,FALSE
