"target_id","target_symbol","gene_chr","gene_pos","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","intscan_w_candidate","addscan_w_candidate","int_effect_w_candidate","int_effect_lod","diff"
"ENSMUSG00000067575","Rpl35a-ps3","7","29.137138","11","112.982558","ENSMUSG00000085629","Gm11697","11","109.937226","0.687724377595656","0.293503102263413","0.3942","8.351","7.9568"
"ENSMUSG00000083424","Rpl35a-ps4","8","108.875092","11","112.982558","ENSMUSG00000085629","Gm11697","11","109.937226","0.687724377595656","0.293503102263413","0.3942","8.351","7.9568"
"ENSMUSG00000094664","Rpl35a-ps6","11","123.255647","11","112.982558","ENSMUSG00000085629","Gm11697","11","109.937226","0.687724377595656","0.293503102263413","0.3942","8.351","7.9568"
"ENSMUSG00000073761","4933427I04Rik","10","123.861422","11","112.893651","ENSMUSG00000020736","Nt5c","11","115.491141","2.19633482658306","1.30415629313705","0.8922","8.8012","7.909"
"ENSMUSG00000072568","Fam84b","5","60.822038","11","110.155804","ENSMUSG00000020732","Rab37","11","115.126834","1.95278215990404","1.07698205496806","0.8758","8.7774","7.9016"
"ENSMUSG00000072568","Fam84b","5","60.822038","11","110.155804","ENSMUSG00000045775","Slc16a5","11","115.468436","2.33754429227066","1.43916701470345","0.8984","8.7774","7.879"
"ENSMUSG00000067575","Rpl35a-ps3","7","29.137138","11","112.982558","ENSMUSG00000025163","Cd7","11","121.038082","1.082200631694","0.604658880172435","0.4775","8.351","7.8735"
"ENSMUSG00000083424","Rpl35a-ps4","8","108.875092","11","112.982558","ENSMUSG00000025163","Cd7","11","121.038082","1.082200631694","0.604658880172435","0.4775","8.351","7.8735"
"ENSMUSG00000094664","Rpl35a-ps6","11","123.255647","11","112.982558","ENSMUSG00000025163","Cd7","11","121.038082","1.082200631694","0.604658880172435","0.4775","8.351","7.8735"
"ENSMUSG00000072568","Fam84b","5","60.822038","11","110.155804","ENSMUSG00000020923","Ubtf","11","102.312151","2.87458642663684","1.93110981609692","0.9435","8.7774","7.8339"
"ENSMUSG00000045294","Insig1","11","28.075012","11","110.661915","ENSMUSG00000034936","Arl4d","11","101.666686","1.25541932250628","0.960876958973541","0.2945","8.098","7.8035"
"ENSMUSG00000067575","Rpl35a-ps3","7","29.137138","11","112.982558","ENSMUSG00000020744","Slc25a19","11","115.621236","1.62643341011164","1.07694602039882","0.5495","8.351","7.8015"
"ENSMUSG00000083424","Rpl35a-ps4","8","108.875092","11","112.982558","ENSMUSG00000020744","Slc25a19","11","115.621236","1.62643341011164","1.07694602039882","0.5495","8.351","7.8015"
"ENSMUSG00000094664","Rpl35a-ps6","11","123.255647","11","112.982558","ENSMUSG00000020744","Slc25a19","11","115.621236","1.62643341011164","1.07694602039882","0.5495","8.351","7.8015"
"ENSMUSG00000067575","Rpl35a-ps3","7","29.137138","11","112.982558","ENSMUSG00000097658","Gm16755","11","120.48746","0.918398599841802","0.367727782554463","0.5507","8.351","7.8003"
"ENSMUSG00000083424","Rpl35a-ps4","8","108.875092","11","112.982558","ENSMUSG00000097658","Gm16755","11","120.48746","0.918398599841802","0.367727782554463","0.5507","8.351","7.8003"
"ENSMUSG00000094664","Rpl35a-ps6","11","123.255647","11","112.982558","ENSMUSG00000097658","Gm16755","11","120.48746","0.918398599841802","0.367727782554463","0.5507","8.351","7.8003"
