"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000018992","Rars","11","35.821444","10.3257","1.4048","8.9209"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000048222","Mat2b","11","40.687258","10.3257","1.8769","8.4488"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000075067","Npm1","11","33.157746","10.3257","2.1765","8.1492"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000090897","Hba-a1","11","32.283988","10.3257","1.3783","8.9474"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000045460","Psme4","11","30.826044","10.3257","1.2728","9.0529"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000020578","Nudcd2","11","40.736856","10.3257","1.2084","9.1173"
"ENSMUSP00000044548","Rbm8a","11","35.77327","ENSMUSP00000072929","Erlec1","11","30.942554","10.3257","1.1564","9.1693"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000018992","Rars","11","35.821444","8.6781","0.7391","7.9389"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000074195","Acyp2","11","30.577789","8.6781","0.8866","7.7915"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000075067","Npm1","11","33.157746","8.6781","1.7371","6.941"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000090897","Hba-a1","11","32.283988","8.6781","0.756","7.9221"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000045460","Psme4","11","30.826044","8.6781","0.6877","7.9904"
"ENSMUSP00000005017","Hdgf","11","35.534525","ENSMUSP00000072929","Erlec1","11","30.942554","8.6781","1.0425","7.6356"
"ENSMUSP00000087736","Actc1","11","36.130893","ENSMUSP00000018992","Rars","11","35.821444","8.6667","0.6006","8.0662"
"ENSMUSP00000087736","Actc1","11","36.130893","ENSMUSP00000048222","Mat2b","11","40.687258","8.6667","0.6161","8.0506"
"ENSMUSP00000087736","Actc1","11","36.130893","ENSMUSP00000075067","Npm1","11","33.157746","8.6667","0.7746","7.8921"
"ENSMUSP00000087736","Actc1","11","36.130893","ENSMUSP00000090897","Hba-a1","11","32.283988","8.6667","0.4114","8.2553"
"ENSMUSP00000087736","Actc1","11","36.130893","ENSMUSP00000020578","Nudcd2","11","40.736856","8.6667","0.6194","8.0473"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000018992","Rars","11","35.821444","8.6107","0.8603","7.7504"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000074195","Acyp2","11","30.577789","8.6107","0.8761","7.7346"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000075067","Npm1","11","33.157746","8.6107","2.3506","6.2601"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000090897","Hba-a1","11","32.283988","8.6107","0.9048","7.7059"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000045460","Psme4","11","30.826044","8.6107","1.0652","7.5455"
"ENSMUSP00000110103","Hnrnpa2b1","11","35.558794","ENSMUSP00000072929","Erlec1","11","30.942554","8.6107","0.8378","7.7729"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000018992","Rars","11","35.821444","8.5728","1.0877","7.4852"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000074195","Acyp2","11","30.577789","8.5728","0.584","7.9888"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000075067","Npm1","11","33.157746","8.5728","1.0114","7.5614"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000090897","Hba-a1","11","32.283988","8.5728","0.7857","7.7871"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000045460","Psme4","11","30.826044","8.5728","1.2492","7.3236"
"ENSMUSP00000099658","Rbbp4","11","35.534525","ENSMUSP00000072929","Erlec1","11","30.942554","8.5728","1.5397","7.0331"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000018992","Rars","11","35.821444","8.5132","0.5416","7.9716"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000048222","Mat2b","11","40.687258","8.5132","0.5412","7.972"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000075067","Npm1","11","33.157746","8.5132","0.793","7.7202"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000090897","Hba-a1","11","32.283988","8.5132","0.4069","8.1063"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000045460","Psme4","11","30.826044","8.5132","0.9742","7.539"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000020578","Nudcd2","11","40.736856","8.5132","0.3451","8.1681"
"ENSMUSP00000090059","Srsf2","11","35.873922","ENSMUSP00000072929","Erlec1","11","30.942554","8.5132","0.805","7.7082"
