"lodcolumn","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSG00000030769","Slc5a11","7",123.21478,123.244016,123.273253,"7",70.174599,"UNC13077275",12.0807988783681,FALSE
"ENSMUSG00000037735","2810032G03Rik","12",5.37587,5.39625,5.41663,"6",82.609524,"UNC11492522",11.7418182768834,FALSE
"ENSMUSG00000024958","Gpr137","19",6.938069,6.94026,6.94245,"9",65.616469,"UNC16525584",11.3573669874244,FALSE
"ENSMUSG00000062087","4930423O20Rik","16",70.381819,70.382102,70.382385,"X",139.425706,"backupUNC200714769",11.3426513667469,FALSE
"ENSMUSG00000037032","Apbb1","7",105.558486,105.566444,105.574402,"2",26.590857,"UNC2770303",11.2195535205516,FALSE
"ENSMUSG00000021313","Ryr2","13",11.553103,11.830024,12.106945,"10",116.068337,"UNC18787735",11.0433330857668,FALSE
"ENSMUSG00000023000","Dhh","15",98.893031,98.895786,98.89854,"9",41.898142,"UNC16237889",11.0037917234805,FALSE
"ENSMUSG00000070425","Trpc2","7",102.065511,102.081188,102.096864,"15",79.971472,"UNC25955248",10.9512809656546,FALSE
"ENSMUSG00000075027","4631405J19Rik","2",93.027956,93.036344,93.044732,"10",126.062556,"backupJAX00301749",10.7549697971654,FALSE
"ENSMUSG00000042901","Aida","1",183.29706,183.31078,183.324501,"16",73.593389,"UNC27113387",10.7428815555171,FALSE
"ENSMUSG00000041372","B4galnt3","6",120.203073,120.248816,120.294559,"11",49.866785,"UNC19592677",10.7097183977751,FALSE
"ENSMUSG00000034613","Ppm1h","10",122.678762,122.812278,122.945795,"X",139.808725,"UNC31384435",10.4972554701872,FALSE
"ENSMUSG00000024208","Uqcc2","17",27.122663,27.12829,27.133916,"11",67.396727,"JAX00314237",10.3744024161274,FALSE
"ENSMUSG00000074449","Gm15319","8",20.337664,20.350437,20.36321,"5",134.808752,"UNC10234156",10.3080195645891,FALSE
"ENSMUSG00000091478","Gm10039","11",100.361618,100.361884,100.362151,"17",22.558192,"UNC170043171",10.2644322393088,FALSE
"ENSMUSG00000091831","Gm4707","17",71.458327,71.459361,71.460395,"X",106.716393,"UNC31183175",10.2629326681702,FALSE
"ENSMUSG00000097520","Gm26843","8",93.750147,93.78022,93.810292,"16",14.071062,"UNC160026026",10.2331501415142,FALSE
"ENSMUSG00000027341","Tmem230","2",132.239492,132.24365,132.247807,"X",86.045529,"JAX00181502",10.1944819485576,FALSE
"ENSMUSG00000071847","Apcdd1","18",62.922327,62.937761,62.953195,"13",60.45228,"JAX00045378",10.1752483739771,FALSE
"ENSMUSG00000029120","Ppp2r2c","5",36.868513,36.911796,36.955078,"19",11.11771,"UNC29891263",10.1557921287244,FALSE
"ENSMUSG00000049106","Dcaf5","12",80.335847,80.386224,80.436601,"13",80.609812,"UNC22936158",10.1063326245227,FALSE
"ENSMUSG00000030046","Bmp10","6",87.429002,87.431757,87.434512,"6",84.548174,"UNC060135143",10.0810895730956,TRUE
"ENSMUSG00000044217","Aqp5","15",99.590849,99.592839,99.594829,"14",31.239979,"JAX00376536",10.054221388072,FALSE
"ENSMUSG00000032011","Thy1","9",44.043384,44.045982,44.048579,"6",56.431224,"UNC11142730",10.0463260211987,FALSE
"ENSMUSG00000057738","Sptan1","2",29.96556,29.998506,30.031451,"11",98.593688,"UNC110504977",10.044678885465,FALSE
"ENSMUSG00000057738","Sptan1","2",29.96556,29.998506,30.031451,"11",98.593688,"UNC110504977",10.044678885465,FALSE
