"target_id","target_symbol","gene_chr","gene_pos","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","intscan_w_candidate","addscan_w_candidate","int_effect_w_candidate","int_effect_lod","diff"
"ENSMUSG00000076614","Ighg1","4","113.32975","17","89.199721","ENSMUSP00000044543","Rmdn2","17","79.648526","3.80273343168548","2.29958582607224","1.5031","7.948","6.4449"
"ENSMUSG00000032580","Rbm5","18","107.755684","10","115.798167","ENSMUSP00000073462","Mon2","10","123.034283","5.87108261954224","3.19208913797488","2.679","8.5394","5.8604"
"ENSMUSG00000030067","Foxp1","14","99.22403","19","57.69277","ENSMUSP00000118743","Sfxn4","19","60.849378","6.28413358458853","3.14302665507252","3.1411","8.9448","5.8037"
"ENSMUSG00000034135","Sik3","9","46.118507","11","101.313072","ENSMUSP00000099432","Fbxl20","11","98.11648","2.62127935012385","1.08723026979782","1.534","7.2934","5.7594"
"ENSMUSG00000024998","Plce1","19","38.63307","11","101.57357","ENSMUSP00000046296","Fmnl1","11","103.185004","3.60959954961085","1.51075924601911","2.0988","7.8494","5.7506"
"ENSMUSG00000045246","Kcng4","16","119.629767","19","56.684356","ENSMUSP00000118743","Sfxn4","19","60.849378","2.86804065947475","0.410926384978224","2.4571","8.0894","5.6323"
"ENSMUSG00000024913","Lrp5","19","3.635696","11","100.212288","ENSMUSP00000046296","Fmnl1","11","103.185004","3.42522475130253","0.659188128243214","2.766","8.3233","5.5573"
"ENSMUSG00000021313","Ryr2","4","11.830024","10","116.068337","ENSMUSP00000049243","Tspan8","10","115.833588","6.41391929272769","0.917079698617774","5.4968","11.0433","5.5465"
"ENSMUSG00000068699","Flnc","6","29.44752","11","101.57357","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.55417631777651","2.54401562117355","2.0102","7.4472","5.437"
"ENSMUSG00000043384","Gprasp1","18","135.773104","19","57.09071","ENSMUSP00000118743","Sfxn4","19","60.849378","4.48777803653954","0.783443838628699","3.7043","9.0866","5.3823"
"ENSMUSG00000032602","Slc25a20","9","108.67337","11","101.625616","ENSMUSP00000036338","Abca9","11","110.134472","4.57132333879358","2.3939693267369","2.1774","7.5096","5.3322"
"ENSMUSG00000022560","Slc52a2","6","76.540536","10","114.211024","ENSMUSP00000073462","Mon2","10","123.034283","3.68838909586352","1.45971622514988","2.2287","7.547","5.3183"
"ENSMUSG00000032602","Slc25a20","9","108.67337","11","101.625616","ENSMUSP00000099353","Pitpnc1","11","107.339296","2.32438687948705","0.102471062289449","2.2219","7.5096","5.2877"
"ENSMUSG00000072849","Serpina1e","3","103.952953","10","116.11227","ENSMUSP00000049243","Tspan8","10","115.833588","6.68198285242305","2.83150263307969","3.8505","9.0622","5.2117"
"ENSMUSG00000021548","Ccnh","13","85.206438","11","100.097149","ENSMUSP00000099366","Plcd3","11","103.085981","6.56433878160666","3.00132874743697","3.563","8.7734","5.2104"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000020849","Tom1l1","11","90.665916","5.78053571753327","0.895142455558218","4.8854","10.0447","5.1593"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000020849","Tom1l1","11","90.665916","5.78053571753327","0.895142455558218","4.8854","10.0447","5.1593"
"ENSMUSG00000021361","Tmem14c","5","41.019412","19","58.228091","ENSMUSP00000118743","Sfxn4","19","60.849378","5.22793124182439","2.62559844828654","2.6023","7.7488","5.1465"
"ENSMUSG00000030074","Gxylt2","6","100.754908","11","100.797046","ENSMUSP00000036338","Abca9","11","110.134472","5.86061375335779","2.71059998231824","3.15","8.2805","5.1305"
"ENSMUSG00000046185","Zfp84","16","29.774186","10","116.138138","ENSMUSP00000073462","Mon2","10","123.034283","4.10212106020667","1.42820694356144","2.6739","7.7999","5.126"
"ENSMUSG00000024913","Lrp5","19","3.635696","11","100.212288","ENSMUSP00000099432","Fbxl20","11","98.11648","5.31461433203792","2.10840473791247","3.2062","8.3233","5.1171"
"ENSMUSG00000086762","Gm14546","14","34.307257","19","58.774738","ENSMUSP00000118743","Sfxn4","19","60.849378","5.31697175531762","2.04083104797126","3.2761","8.3808","5.1047"
"ENSMUSG00000004099","Dnmt1","9","20.933547","11","101.078232","ENSMUSP00000036338","Abca9","11","110.134472","3.35073036522855","1.22389913687874","2.1268","7.2106","5.0838"
"ENSMUSG00000024937","Ehbp1l1","19","5.716846","11","101.46237","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.45496440426584","1.9452930635357","2.5097","7.5519","5.0422"
"ENSMUSG00000024913","Lrp5","19","3.635696","11","100.212288","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.28242152573195","0.99771661133195","3.2847","8.3233","5.0386"
"ENSMUSG00000037234","Hook3","17","26.070322","10","114.153913","ENSMUSP00000049243","Tspan8","10","115.833588","3.27558771947062","1.06787849276523","2.2077","7.2336","5.0259"
"ENSMUSG00000024937","Ehbp1l1","19","5.716846","11","101.46237","ENSMUSP00000046296","Fmnl1","11","103.185004","4.59274688681131","2.06139806326184","2.5313","7.5519","5.0206"
"ENSMUSG00000024913","Lrp5","19","3.635696","11","100.212288","ENSMUSP00000091475","Cbx1","11","96.798884","4.86425760290412","1.54239219125675","3.3219","8.3233","5.0014"
"ENSMUSG00000022003","Slc25a30","14","75.774518","11","100.328226","ENSMUSP00000099366","Plcd3","11","103.085981","4.5180272836901","1.37198962082292","3.146","8.147","5.001"
"ENSMUSG00000035824","Tk2","8","104.237624","11","98.566339","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.57986174608918","2.12092784569351","2.4589","7.4035","4.9446"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000099366","Plcd3","11","103.085981","6.79755932175737","1.64032738492131","5.1572","10.0447","4.8875"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000099366","Plcd3","11","103.085981","6.79755932175737","1.64032738492131","5.1572","10.0447","4.8875"
"ENSMUSG00000032103","Pus3","9","35.562998","11","100.600771","ENSMUSP00000099353","Pitpnc1","11","107.339296","3.26982243995719","0.782775492221845","2.487","7.2818","4.7948"
"ENSMUSG00000044574","5031434C07Rik","6","112.287347","11","99.818971","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.06321856968214","1.28345481163921","2.7798","7.5633","4.7835"
"ENSMUSG00000026586","Prrx1","1","163.279413","10","114.153913","ENSMUSP00000049243","Tspan8","10","115.833588","5.65774614151695","1.91868898973328","3.7391","8.4786","4.7395"
"ENSMUSG00000011960","Ccnt1","6","98.554806","10","115.798167","ENSMUSP00000073462","Mon2","10","123.034283","6.83736768640047","3.92173049169183","2.9156","7.6453","4.7297"
"ENSMUSG00000021548","Ccnh","13","85.206438","11","100.097149","ENSMUSP00000021046","Ddx42","11","106.233032","6.16097893814882","2.10168137617616","4.0593","8.7734","4.7141"
"ENSMUSG00000021549","Rasa1","4","85.251904","10","114.803923","ENSMUSP00000073462","Mon2","10","123.034283","6.71553293007293","2.64140421656711","4.0741","8.7826","4.7085"
"ENSMUSG00000008690","Ncaph2","6","89.364272","17","89.403132","ENSMUSP00000044543","Rmdn2","17","79.648526","5.42799243997733","1.50098857584884","3.927","8.6306","4.7036"
"ENSMUSG00000002985","Apoe","16","19.697638","10","115.921455","ENSMUSP00000020339","Tbc1d15","10","115.224685","8.58381359917078","3.50831936723031","5.0755","9.7632","4.6877"
"ENSMUSG00000024937","Ehbp1l1","19","5.716846","11","101.46237","ENSMUSP00000058168","Dcaf7","11","106.048098","4.06094215863258","1.17840142154701","2.8825","7.5519","4.6694"
"ENSMUSG00000069601","Ank3","2","69.780605","17","87.520028","ENSMUSP00000044543","Rmdn2","17","79.648526","7.85201656370719","3.46100583630385","4.391","9.0258","4.6348"
"ENSMUSG00000039804","Ncoa5","2","165.017612","11","101.983513","ENSMUSP00000036338","Abca9","11","110.134472","5.9108949129928","3.11932930666192","2.7916","7.4236","4.632"
"ENSMUSG00000068699","Flnc","6","29.44752","11","101.57357","ENSMUSP00000099432","Fbxl20","11","98.11648","5.55953590644642","2.7429571163107","2.8166","7.4472","4.6306"
"ENSMUSG00000022003","Slc25a30","14","75.774518","11","100.328226","ENSMUSP00000099432","Fbxl20","11","98.11648","5.89114828174874","2.36198579980283","3.5292","8.147","4.6178"
"ENSMUSG00000078440","Dohh","2","81.387994","19","56.780174","ENSMUSP00000118743","Sfxn4","19","60.849378","4.38360521362098","0.630268146239085","3.7533","8.3672","4.6139"
"ENSMUSG00000042046","Dstyk","1","132.442206","10","115.798167","ENSMUSP00000073462","Mon2","10","123.034283","6.77109321045817","2.4499115907975","4.3212","8.932","4.6108"
"ENSMUSG00000035521","Gnptg","17","25.236728","11","98.469515","ENSMUSP00000046296","Fmnl1","11","103.185004","7.57872209969129","4.91026154260667","2.6685","7.2757","4.6072"
"ENSMUSG00000079110","Capn3","2","120.480466","11","100.145634","ENSMUSP00000099353","Pitpnc1","11","107.339296","4.68449217549889","1.93720627503351","2.7473","7.3427","4.5954"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000021046","Ddx42","11","106.233032","7.63853595463754","2.15412881225756","5.4844","10.0447","4.5603"
"ENSMUSG00000057738","Sptan1","2","29.998506","11","98.593688","ENSMUSP00000021046","Ddx42","11","106.233032","7.63853595463754","2.15412881225756","5.4844","10.0447","4.5603"
"ENSMUSG00000030007","Cct7","6","85.459991","11","101.393042","ENSMUSP00000046296","Fmnl1","11","103.185004","5.24729000370975","1.61549243650959","3.6318","8.1906","4.5588"
"ENSMUSG00000038708","Golga4","18","118.54442","10","114.803923","ENSMUSP00000020339","Tbc1d15","10","115.224685","4.85683818165234","1.80517300539733","3.0517","7.6079","4.5562"
"ENSMUSG00000034774","Dsg1c","18","20.266186","11","99.341149","ENSMUSP00000058168","Dcaf7","11","106.048098","3.67124070964223","0.95509495229764","2.7161","7.248","4.5319"
"ENSMUSG00000008690","Ncaph2","6","89.364272","17","89.403132","ENSMUSP00000094873","Prkce","17","86.412852","4.74266352097613","0.624409831284567","4.1183","8.6306","4.5123"
