"lodcolumn","gene_id","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis","A","B","C","D","E","F","G","H"
"ENSMUSP00000130493","ENSMUSG00000071711","Mpst","15",78.406712,78.410357,78.414002,"15",78.27975,"JAX00406522",53.1657365206225,TRUE,0.311462695283228,-2.16429980496856,0.133030808029733,0.435491254389902,0.55431596473606,-0.438073415380196,1.11702990395579,0.05104259395348
"ENSMUSP00000095235","ENSMUSG00000073609","D2hgdh","1",93.82524,93.838794,93.852348,"1",93.610832,"UNC1167817",48.9754076736961,TRUE,0.414436335259894,-1.94537643742383,0.373698816217986,0.34859183363499,1.7117744773663,-0.637323653297431,-0.563710747680656,0.297909375923933
"ENSMUSP00000116627","ENSMUSG00000025911","Adhfe1","1",9.547948,9.562959,9.57797,"1",7.773471,"JAX00241338",46.5879757970268,TRUE,0.771601379892727,1.13622085187196,-1.42014441507874,-1.56924201433823,0.48794612935088,0.56786857245978,-0.724475067879678,0.750224563720289
"ENSMUSP00000024887","ENSMUSG00000024082","Ndufaf7","17",78.937135,78.942594,78.948052,"17",79.020247,"UNC28415874",44.8464291212806,TRUE,-1.35896001463661,0.491886684747035,-1.34193603101749,-1.60104889897411,1.23334042950917,0.353494513829098,0.69673311595613,1.52649020058657
"ENSMUSP00000116898","ENSMUSG00000062646","Ganc","2",120.403896,120.432798,120.4617,"2",123.320941,"UNC3880394",42.3554211528769,TRUE,-1.60546073518554,-1.92025148079906,0.0741497626234585,1.2868684987191,1.02773920552989,1.48094449370616,-1.18957428890672,0.84558454431288
"ENSMUSP00000096753","ENSMUSG00000025453","Nnt","13",119.335448,119.372222,119.408997,"13",118.830395,"JAX00371980",41.7090890329085,TRUE,0.97069592537215,-2.46351292759045,-0.285812572928847,0.462853552926885,-0.24447502750936,0.241500581785486,0.967805986432892,0.350944481510388
"ENSMUSP00000125552","ENSMUSG00000019791","Hint3","10",30.608141,30.61331,30.618479,"10",30.546956,"JAX00286489",41.6116494594033,TRUE,0.345995939090683,0.119835916314293,0.403682919853261,0.622666232592288,-0.669931624227732,0.741284956584027,0.602024732310669,-2.16555907251782
"ENSMUSP00000070561","ENSMUSG00000040086","Tnni3k","3",154.786302,154.920854,155.055407,"3",154.541071,"UNC6586703",41.0024329100573,TRUE,-1.22974815032784,1.06858366968485,0.456769883193092,-1.27550640127685,-1.31184603226511,0.0254234208135684,1.67138726184635,0.594936348331682
"ENSMUSP00000005651","ENSMUSG00000005514","Por","5",135.670033,135.70268,135.735326,"5",135.723632,"UNC10246237",40.3436385342358,TRUE,-0.890728662399904,-0.846484868792128,-1.09806483294968,-0.840236684784934,-0.639946921823319,1.41335444424787,1.52165982439139,1.3804477021113
"ENSMUSP00000022480","ENSMUSG00000021913","Ogdhl","14",32.322019,32.33492,32.34782,"14",32.347623,"UNC23804378",39.5514391614884,TRUE,0.777882516791151,1.08342800964499,-1.17405335536405,1.50723866145344,1.03605335656866,-0.935350887017904,-1.20402577551924,-1.09117252655636
"ENSMUSP00000021611","ENSMUSG00000021193","Pitrm1","13",6.548157,6.564148,6.580139,"13",7.818997,"UNC22077608",39.430597049866,TRUE,0.0580884320919421,0.47936453435368,0.36745332844894,-1.58560012865056,-1.61974102404062,0.118623945751832,1.84550563530309,0.336305276740255
"ENSMUSP00000116285","ENSMUSG00000048120","Entpd1","19",40.612366,40.676984,40.741602,"19",41.018751,"UNC30323050",39.3211156522029,TRUE,0.925882628251314,-0.351498944590999,1.20345661317831,1.40363400820575,-0.525005904416805,-0.0350442134725309,-0.778390838351831,-1.84303334880346
"ENSMUSP00000117030","ENSMUSG00000021196","Pfkp","13",6.579768,6.614272,6.648777,"13",8.449054,"UNC22085217",38.5899634777293,TRUE,-0.489091446181746,-0.627372367912638,-0.936381056278839,1.5610716059433,1.7033154738043,-1.00297041323912,-0.863829855868449,0.655258059732591
"ENSMUSP00000027602","ENSMUSG00000026356","Dars","1",128.363708,128.390562,128.417416,"1",128.456191,"JAX00266341",37.7975347630074,TRUE,1.05783561262158,1.14809655847238,-1.09427777674527,0.507605380118687,1.07346085982174,-0.943972226640178,-0.777295531947978,-0.971452875701011
"ENSMUSP00000111272","ENSMUSG00000000326","Comt","16",18.406886,18.416869,18.426852,"16",18.450764,"UNC26416661",37.7635908883175,TRUE,-0.994010026135046,-0.898419604353342,-0.696895956575958,-0.265120893655094,-0.545810943396228,1.60231680398132,2.16070832377362,-0.362767703640972
"ENSMUSP00000126586","ENSMUSG00000024026","Glo1","17",30.592866,30.602762,30.612659,"17",30.562178,"UNC27759431",37.5554949380344,TRUE,2.01007390250321,-1.02178995109177,0.788691220061848,-1.14490443406452,-0.403458420612073,0.614703398171959,0.156716770894893,-1.00003248586413
"ENSMUSP00000103068","ENSMUSG00000028393","Alad","4",62.509169,62.514544,62.519918,"4",59.513504,"UNC7347086",37.4029491112624,TRUE,1.8427969439763,-1.13402465121172,0.728922221533794,0.535006171549382,0.759353391656564,-0.574629416350396,-1.23951908634509,-0.917905574807636
