"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000036288","Cct2","10","117.057406","11.0433","10.9088","0.1345"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000020343","Rab21","10","115.302727","11.0433","11.0931","-0.0498"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000073502","Lrrc10","10","117.046054","11.0433","9.9812","1.0621"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000068408","Cpsf6","10","117.362344","11.0433","9.7177","1.3256"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000049243","Tspan8","10","115.833588","11.0433","5.4968","5.5465"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000020339","Tbc1d15","10","115.224685","11.0433","7.5802","3.4631"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000020375","Rab3ip","10","116.928082","11.0433","9.4414","1.6019"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSP00000066238","Rap1b","10","117.830203","11.0433","10.0654","0.9779"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000036288","Cct2","10","117.057406","9.7632","9.9005","-0.1373"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000020343","Rab21","10","115.302727","9.7632","9.7855","-0.0223"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000073502","Lrrc10","10","117.046054","9.7632","12.3871","-2.6239"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000068408","Cpsf6","10","117.362344","9.7632","11.5268","-1.7636"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000049243","Tspan8","10","115.833588","9.7632","9.9394","-0.1762"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000020339","Tbc1d15","10","115.224685","9.7632","5.0755","4.6877"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000020375","Rab3ip","10","116.928082","9.7632","8.5852","1.178"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSP00000066238","Rap1b","10","117.830203","9.7632","12.4761","-2.7129"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSP00000099420","Krt10","11","99.387309","10.0447","9.9345","0.1102"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSP00000103026","Jup","11","100.38336","10.0447","10.0346","0.0101"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSP00000014339","Dnajc7","11","100.601493","10.0447","9.7929","0.2518"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSP00000001479","Kpnb1","11","97.173798","10.0447","10.228","-0.1833"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSP00000127632","Acly","11","100.502176","10.0447","10.0769","-0.0322"
