"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006754","ATP biosynthetic process","10/15","31/3949",5.17321758497008e-19,2.10549955708282e-16,1.72622102572159e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","10/15","36/3949",2.94766980588935e-18,5.47375774203145e-16,4.48773103381345e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009145","purine nucleoside triphosphate biosynthetic process","10/15","37/3949",4.03471086636225e-18,5.47375774203145e-16,4.48773103381345e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009201","ribonucleoside triphosphate biosynthetic process","10/15","38/3949",5.46932203219731e-18,5.56503516776076e-16,4.56256601106986e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0015992","proton transport","10/15","41/3949",1.29254853665405e-17,1.0521345088364e-15,8.62606076040704e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0006818","hydrogen transport","10/15","42/3949",1.69449866552225e-17,1.14943492811259e-15,9.4237908240448e-16,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009142","nucleoside triphosphate biosynthetic process","10/15","44/3949",2.85075098746444e-17,1.65750807414004e-15,1.35892941808455e-15,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009127","purine nucleoside monophosphate biosynthetic process","10/15","46/3949",4.6724902814613e-17,2.01072276451773e-15,1.64851704733511e-15,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","10/15","46/3949",4.6724902814613e-17,2.01072276451773e-15,1.64851704733511e-15,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0015985","energy coupled proton transport, down electrochemical gradient","8/15","16/3949",5.61484810659982e-17,2.01072276451773e-15,1.64851704733511e-15,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
