"target_id","target_symbol","gene_chr","gene_pos","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","intscan_w_candidate","addscan_w_candidate","int_effect_w_candidate","int_effect_lod","diff"
"ENSMUSP00000132190","Phykpl","11","51.594623","3","147.834319","ENSMUSP00000123851","1110002E22Rik","3","138.073279","3.51244244530907","1.81295056279225","1.6995","7.8314","6.1319"
"ENSMUSP00000020289","Pald1","10","61.35159","3","148.051587","ENSMUSP00000041897","Syde2","3","146.004795","2.86313676236941","0.829022921208678","2.0341","7.4438","5.4097"
"ENSMUSP00000079672","Rpl35","2","39.003602","3","146.374133","ENSMUSP00000041897","Syde2","3","146.004795","7.51813567650873","2.84787587283708","4.6703","9.8406","5.1703"
"ENSMUSP00000020289","Pald1","10","61.35159","3","148.051587","ENSMUSP00000099573","Prkacb","3","146.77127","2.64048568103623","0.277111023150129","2.3634","7.4438","5.0804"
"ENSMUSP00000049737","Obscn","11","59.065329","3","147.295992","ENSMUSP00000123851","1110002E22Rik","3","138.073279","4.09870314393088","0.627102595445332","3.4716","8.4456","4.974"
"ENSMUSP00000115615","Myh6","14","54.954424","3","147.295992","ENSMUSP00000123851","1110002E22Rik","3","138.073279","5.72307531621894","1.70533808960461","4.0177","8.9368","4.9191"
"ENSMUSP00000121577","Actg2","6","83.524585","3","147.253648","ENSMUSP00000123851","1110002E22Rik","3","138.073279","4.23389203634463","1.26592023107392","2.968","7.7573","4.7893"
"ENSMUSP00000052856","Rnf7","9","96.474808","3","147.694028","ENSMUSP00000123851","1110002E22Rik","3","138.073279","4.88254811866836","1.41933470194229","3.4632","8.1149","4.6517"
"ENSMUSP00000053842","Dnaja3","16","4.673842","3","148.158788","ENSMUSP00000041897","Syde2","3","146.004795","4.15129672452636","1.11238743930955","3.0389","7.6216","4.5827"
"ENSMUSP00000021407","Srp54a","12","55.101046","3","147.295992","ENSMUSP00000041897","Syde2","3","146.004795","4.91780057972817","1.0709991512827","3.8468","8.3077","4.4609"
"ENSMUSP00000137309","H1f0","15","79.029355","3","147.694028","ENSMUSP00000123851","1110002E22Rik","3","138.073279","6.09674244329228","1.45021421740033","4.6465","9.076","4.4295"
"ENSMUSP00000127070","Mybpc3","2","91.12733","3","146.809151","ENSMUSP00000123851","1110002E22Rik","3","138.073279","4.42472732185616","1.29000471682331","3.1347","7.4071","4.2724"
"ENSMUSP00000120292","Map7d1","4","126.244255","3","147.43051","ENSMUSP00000123851","1110002E22Rik","3","138.073279","5.6442420882569","2.07161733001191","3.5726","7.8172","4.2446"
"ENSMUSP00000099878","Rps6","4","86.856036","3","147.43051","ENSMUSP00000041897","Syde2","3","146.004795","6.37261271405308","1.82147153610551","4.5511","8.7869","4.2358"
"ENSMUSP00000099878","Rps6","4","86.856036","3","147.43051","ENSMUSP00000123851","1110002E22Rik","3","138.073279","5.73523149443278","1.13184602982327","4.6034","8.7869","4.1835"
"ENSMUSP00000137309","H1f0","15","79.029355","3","147.694028","ENSMUSP00000101829","Gbp3","3","142.56663","5.59498416697863","0.648089110999759","4.9469","9.076","4.1291"
"ENSMUSP00000023583","Ahsg","16","22.89574","3","147.214132","ENSMUSP00000041897","Syde2","3","146.004795","6.48257532120901","1.02963380639199","5.4529","9.5286","4.0757"
"ENSMUSP00000103531","Myh14","7","44.638323","3","147.295146","ENSMUSP00000123851","1110002E22Rik","3","138.073279","6.80414788064497","1.1573469669072","5.6468","9.7059","4.0591"
"ENSMUSP00000117447","Ttn","2","76.843264","3","148.896076","ENSMUSP00000101829","Gbp3","3","142.56663","6.73663038236488","2.41689457178708","4.3197","8.24","3.9203"
"ENSMUSP00000019638","Cops6","5","138.162858","3","149.927662","ENSMUSP00000113685","Srsf11","3","158.023556","6.51395710344228","2.16747037250723","4.3465","8.2601","3.9136"
"ENSMUSP00000019638","Cops6","5","138.162858","3","149.927662","ENSMUSP00000071956","Lrrc40","3","158.05257","6.03266303863202","1.68347192790278","4.3492","8.2601","3.9109"
"ENSMUSP00000084661","Tnxb","17","34.695175","3","146.91166","ENSMUSP00000123851","1110002E22Rik","3","138.073279","5.85645842514324","2.42137107721772","3.4351","7.2765","3.8414"
"ENSMUSP00000075772","Plec","15","76.201774","3","147.295992","ENSMUSP00000123851","1110002E22Rik","3","138.073279","7.10174438351633","0.663161163992662","6.4386","10.2455","3.8069"
