"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000034024","Cct2","10","117.057406","11.0433","11.2248","-0.1815"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020132","Rab21","10","115.302727","11.0433","7.9063","3.137"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000060187","Lrrc10","10","117.046054","11.0433","10.825","0.2183"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000055531","Cpsf6","10","117.362344","11.0433","9.742","1.3013"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000034127","Tspan8","10","115.833588","11.0433","11.0843","-0.041"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020130","Tbc1d15","10","115.224685","11.0433","11.1223","-0.079"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000064181","Rab3ip","10","116.928082","11.0433","11.0811","-0.0378"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000052681","Rap1b","10","117.830203","11.0433","10.6787","0.3646"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020137","Thap2","10","115.3772","11.0433","9.8539","1.1894"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020140","Lgr5","10","115.519046","11.0433","11.249","-0.2057"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020151","Ptprr","10","116.146572","11.0433","12.3168","-1.2735"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020154","Ptprb","10","116.345456","11.0433","10.1455","0.8978"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020166","Cnot2","10","116.533336","11.0433","10.9018","0.1415"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020169","Best3","10","117.005677","11.0433","9.1974","1.8459"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020170","Frs2","10","117.109302","11.0433","8.8975","2.1458"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020171","Yeats4","10","117.219824","11.0433","11.4407","-0.3974"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020183","Cpm","10","117.658426","11.0433","10.6015","0.4418"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000020184","Mdm2","10","117.699823","11.0433","10.0893","0.954"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000031294","D630029K05Rik","10","116.966906","11.0433","11.5694","-0.5261"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000034057","Myrfl","10","116.836712","11.0433","11.5412","-0.4979"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000034163","Zfc3h1","10","115.408866","11.0433","9.763","1.2803"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000050663","Trhde","10","114.600565","11.0433","12.032","-0.9887"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000052291","5330438D12Rik","10","116.582398","11.0433","11.4167","-0.3734"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000052798","Nup107","10","117.771664","11.0433","11.027","0.0163"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000054934","Kcnmb4","10","116.44587","11.0433","11.0428","5e-04"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000060181","Slc35e3","10","117.740018","11.0433","11.0007","0.0426"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000069515","Lyz1","10","117.290332","11.0433","11.0023","0.041"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000069516","Lyz2","10","117.279804","11.0433","10.9588","0.0845"
"ENSMUSG00000021313","Ryr2","10","116.068337","ENSMUSG00000069520","Tmem19","10","115.3515","11.0433","11.0643","-0.021"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000034024","Cct2","10","117.057406","9.7632","9.7507","0.0124"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020132","Rab21","10","115.302727","9.7632","7.1903","2.5729"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000060187","Lrrc10","10","117.046054","9.7632","9.7341","0.0291"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000055531","Cpsf6","10","117.362344","9.7632","8.6852","1.078"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000034127","Tspan8","10","115.833588","9.7632","9.5813","0.1819"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020130","Tbc1d15","10","115.224685","9.7632","9.7489","0.0143"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000064181","Rab3ip","10","116.928082","9.7632","9.7844","-0.0212"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000052681","Rap1b","10","117.830203","9.7632","9.7459","0.0173"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020137","Thap2","10","115.3772","9.7632","8.5113","1.2519"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020140","Lgr5","10","115.519046","9.7632","10.0808","-0.3176"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020151","Ptprr","10","116.146572","9.7632","9.6249","0.1383"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020154","Ptprb","10","116.345456","9.7632","9.3843","0.3789"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020166","Cnot2","10","116.533336","9.7632","9.496","0.2672"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020169","Best3","10","117.005677","9.7632","8.0753","1.6879"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020170","Frs2","10","117.109302","9.7632","8.2068","1.5564"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020171","Yeats4","10","117.219824","9.7632","9.7564","0.0068"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020183","Cpm","10","117.658426","9.7632","9.4563","0.3069"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000020184","Mdm2","10","117.699823","9.7632","8.6898","1.0734"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000031294","D630029K05Rik","10","116.966906","9.7632","9.8042","-0.041"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000034057","Myrfl","10","116.836712","9.7632","9.7628","4e-04"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000034163","Zfc3h1","10","115.408866","9.7632","9.6382","0.125"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000050663","Trhde","10","114.600565","9.7632","9.9448","-0.1816"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000052291","5330438D12Rik","10","116.582398","9.7632","9.8255","-0.0623"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000052798","Nup107","10","117.771664","9.7632","9.7557","0.0075"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000054934","Kcnmb4","10","116.44587","9.7632","9.5098","0.2534"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000060181","Slc35e3","10","117.740018","9.7632","9.6318","0.1314"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000069515","Lyz1","10","117.290332","9.7632","10.0092","-0.246"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000069516","Lyz2","10","117.279804","9.7632","9.1038","0.6594"
"ENSMUSG00000002985","Apoe","10","115.921455","ENSMUSG00000069520","Tmem19","10","115.3515","9.7632","9.6923","0.0709"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000019761","Krt10","11","99.387309","10.0447","8.3675","1.6772"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001552","Jup","11","100.38336","10.0447","10.1656","-0.1209"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000014195","Dnajc7","11","100.601493","10.0447","10.0749","-0.0302"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001440","Kpnb1","11","97.173798","10.0447","7.8769","2.1678"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020917","Acly","11","100.502176","10.0447","8.7268","1.3179"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038366","Lasp1","11","97.818882","10.0447","8.2782","1.7665"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000078695","Cisd3","11","97.687224","10.0447","9.8528","0.1919"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001441","Npepps","11","97.24324","10.0447","9.7653","0.2794"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020877","Scrn2","11","97.031948","10.0447","9.0922","0.9525"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018882","Mrpl45","11","97.322818","10.0447","9.1636","0.8811"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017221","Psmd3","11","98.689266","10.0447","10.3375","-0.2928"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018669","Cdk5rap3","11","96.911961","10.0447","9.9412","0.1035"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000069744","Psmb3","11","97.70845","10.0447","9.1684","0.8763"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000071415","Rpl23","11","97.779982","10.0447","8.9741","1.0706"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000007877","Tcap","11","98.384382","10.0447","9.0672","0.9775"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018659","Pnpo","11","96.940906","10.0447","10.0086","0.0361"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000035530","Eif1","11","100.32099","10.0447","9.4539","0.5908"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017404","Rpl19","11","98.028601","10.0447","9.9826","0.0621"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000006782","Cnp","11","100.583316","10.0447","10.0074","0.0373"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020911","Krt19","11","100.144738","10.0447","10.0835","-0.0388"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018547","Pip4k2b","11","97.72993","10.0447","9.7923","0.2524"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017176","Nt5c3b","11","100.432064","10.0447","8.9292","1.1155"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000002580","Mien1","11","98.43835","10.0447","10.2673","-0.2226"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018672","Copz2","11","96.855536","10.0447","9.9211","0.1236"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001445","Mrpl10","11","97.045386","10.0447","8.4348","1.6099"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018666","Cbx1","11","96.798884","10.0447","9.8628","0.1819"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020883","Fbxl20","11","98.11648","10.0447","12.0114","-1.9667"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001444","Tbx21","11","97.106701","10.0447","9.6433","0.4014"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001555","Fkbp10","11","100.42026","10.0447","10.0686","-0.0239"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000001558","Klhl10","11","100.44947","10.0447","10.0247","0.02"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000003119","Cdk12","11","98.240782","10.0447","9.4361","0.6086"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000006784","Ttc25","11","100.559088","10.0447","10.2832","-0.2385"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000006930","Hap1","11","100.351728","10.0447","9.9734","0.0713"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017204","Gsdma","11","98.67103","10.0447","9.7989","0.2458"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017210","Med24","11","98.717013","10.0447","10.0925","-0.0478"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017400","Stac2","11","98.045042","10.0447","9.9169","0.1278"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017417","Plxdc1","11","97.954841","10.0447","10.061","-0.0163"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017493","Igfbp4","11","99.047818","10.0447","9.9487","0.096"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017499","Cdc6","11","98.91587","10.0447","9.7769","0.2678"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000017607","Tns4","11","99.077492","10.0447","9.8688","0.1759"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018160","Med1","11","98.172724","10.0447","8.4925","1.5522"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018167","Stard3","11","98.36974","10.0447","9.2538","0.7909"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018168","Ikzf3","11","98.505466","10.0447","10.2428","-0.1981"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018537","Pcgf2","11","97.69466","10.0447","10.0128","0.0319"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018541","Cwc25","11","97.756018","10.0447","9.4189","0.6258"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018543","1700001P01Rik","11","97.7737","10.0447","10.0709","-0.0262"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000018678","Sp2","11","96.96815","10.0447","10.2371","-0.1924"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000019312","Grb7","11","98.450884","10.0447","9.9419","0.1028"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020876","Snx11","11","96.772557","10.0447","11.3828","-1.3381"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020878","Lrrc46","11","97.038004","10.0447","9.7646","0.2801"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020882","Cacnb1","11","98.012271","10.0447","10.1982","-0.1535"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020889","Nr1d1","11","98.771632","10.0447","9.5812","0.4635"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000020914","Top2a","11","99.008566","10.0447","9.4028","0.6419"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000035775","Krt20","11","99.433276","10.0447","10.0722","-0.0275"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000035849","Krt222","11","99.238423","10.0447","9.7045","0.3402"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000037935","Smarce1","11","99.220032","10.0447","10.1969","-0.1522"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000037944","Ccr7","11","99.149636","10.0447","9.9168","0.1279"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000037992","Rara","11","98.95138","10.0447","10.0125","0.0322"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038013","Wipf2","11","98.884339","10.0447","10.0796","-0.0349"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038020","Rapgefl1","11","98.845241","10.0447","9.922","0.1227"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038150","Ormdl3","11","98.584312","10.0447","10.2025","-0.1578"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038208","Pgap3","11","98.394584","10.0447","9.2208","0.8239"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038216","Pnmt","11","98.387316","10.0447","10.5001","-0.4554"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038352","Arl5c","11","97.99288","10.0447","9.9587","0.086"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038437","Mllt6","11","97.674438","10.0447","9.8883","0.1564"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038453","Srcin1","11","97.542283","10.0447","10.0565","-0.0118"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038485","Socs7","11","97.380546","10.0447","8.8158","1.2289"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038517","Tbkbp1","11","97.143833","10.0447","10.1855","-0.1408"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038534","Osbpl7","11","97.059766","10.0447","9.9837","0.061"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038560","Sp6","11","97.019064","10.0447","10.0636","-0.0189"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000038615","Nfe2l1","11","96.823691","10.0447","9.6957","0.349"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000045545","Krt14","11","100.205355","10.0447","10.0472","-0.0025"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000047040","Prr15l","11","96.932967","10.0447","9.9782","0.0665"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000047988","4933428G20Rik","11","97.495562","10.0447","9.8578","0.1869"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000048732","Klhl11","11","100.467678","10.0447","10.0526","-0.0079"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000049807","Arhgap23","11","97.458968","10.0447","8.6219","1.4228"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000050538","B230217C12Rik","11","97.842696","10.0447","10.0397","0.005"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000052915","Msl1","11","98.801688","10.0447","10.6393","-0.5946"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000057058","Skap1","11","96.611862","10.0447","9.047","0.9977"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000058756","Thra","11","98.754822","10.0447","9.9138","0.1309"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000061718","Ppp1r1b","11","98.3531","10.0447","10.1592","-0.1145"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000062312","Erbb2","11","98.425093","10.0447","9.7526","0.2921"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000070336","Fbxo47","11","97.86899","10.0447","10.2481","-0.2034"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000070337","Gpr179","11","97.342093","10.0447","9.9709","0.0738"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000075576","Gm12359","11","98.803897","10.0447","10.2558","-0.2111"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000078134","Gm12355","11","98.625006","10.0447","10.2558","-0.2111"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000078676","Casc3","11","98.81936","10.0447","10.0726","-0.0279"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000078700","D030028A08Rik","11","96.940665","10.0447","9.0094","1.0353"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000081249","Gm11517","11","96.795632","10.0447","10.1555","-0.1108"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000081860","Gm11533","11","97.037245","10.0447","9.9552","0.0895"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000082900","Gm11557","11","99.67863","10.0447","9.5949","0.4498"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000084835","Gm12352","11","98.438542","10.0447","10.0749","-0.0302"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000084896","Gm11632","11","98.08494","10.0447","10.0755","-0.0308"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000084936","Gm11583","11","97.161332","10.0447","9.3188","0.7259"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085145","Gm11614","11","97.724681","10.0447","10.0831","-0.0384"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085242","Gm11537","11","96.767536","10.0447","9.4627","0.582"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085262","Gm11574","11","97.050062","10.0447","9.9754","0.0693"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085307","Gm11525","11","96.920717","10.0447","9.9441","0.1006"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085586","Gm11613","11","97.652276","10.0447","10.1426","-0.0979"
"ENSMUSG00000057738","Sptan1","11","98.593688","ENSMUSG00000085944","1700003D09Rik","11","98.3545","10.0447","9.6185","0.4262"
