"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020612","Prkar1a","11","109.65953","9.7142","4.2364","5.4778"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000050965","Prkca","11","108.138658","9.7142","4.0418","5.6724"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020611","Gna13","11","109.3821","9.7142","4.0769","5.6373"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000000049","Apoh","11","108.378875","9.7142","4.0005","5.7137"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020623","Map2k6","11","110.462322","9.7142","4.0698","5.6444"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000041797","Abca9","11","110.134472","9.7142","3.7904","5.9238"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020620","Abca8b","11","109.964018","9.7142","3.6166","6.0976"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000041828","Abca8a","11","110.060806","9.7142","3.6687","6.0455"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000041895","Wipi1","11","109.592649","9.7142","4.2136","5.5006"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000000142","Axin2","11","108.935566","9.7142","4.0948","5.6194"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000018800","Abca5","11","110.303542","9.7142","4.9039","4.8103"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020599","Rgs9","11","109.261742","9.7142","4.1353","5.5789"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020604","Arsg","11","109.523352","9.7142","3.9871","5.7271"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020610","Amz2","11","109.43938","9.7142","3.51","6.2042"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020614","Fam20a","11","109.696014","9.7142","4.0103","5.7039"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000020728","Cep112","11","108.642904","9.7142","4.1831","5.5311"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000041695","Kcnj2","11","111.071492","9.7142","4.6356","5.0786"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000041920","Slc16a6","11","109.462226","9.7142","4.1938","5.5204"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000044749","Abca6","11","110.214298","9.7142","3.9552","5.759"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000051497","Kcnj16","11","110.998","9.7142","4.0516","5.6626"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000056687","Gm11696","11","109.359216","9.7142","4.0858","5.6284"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000080530","Gm25540","11","109.466371","9.7142","4.0406","5.6736"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000081666","Gm11677","11","111.725136","9.7142","4.1018","5.6124"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000082272","Gm11675","11","111.276516","9.7142","4.1211","5.5931"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000085326","Gm15642","11","109.437658","9.7142","4.4381","5.2761"
"ENSMUSG00000042997","Nhlrc3","11","110.155804","ENSMUSG00000085629","Gm11697","11","109.937226","9.7142","3.8879","5.8263"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000057322","Rpl38","11","114.670428","8.8012","1.2134","7.5878"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000000567","Sox9","11","112.784992","8.8012","1.1246","7.6766"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000010021","Kif19a","11","114.778064","8.8012","1.2115","7.5897"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000018661","Cog1","11","113.658112","8.8012","1.2193","7.5819"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000018727","Cpsf4l","11","113.704094","8.8012","1.1874","7.6138"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000034652","Cd300a","11","114.897348","8.8012","1.3263","7.4749"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000034706","Dnaic2","11","114.742648","8.8012","1.1831","7.6181"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000034714","Ttyh2","11","114.698204","8.8012","1.2267","7.5745"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041592","Sdk2","11","113.92171","8.8012","1.2296","7.5716"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041598","Cdc42ep4","11","113.739366","8.8012","1.2252","7.576"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041623","D11Wsu47e","11","113.68953","8.8012","1.2058","7.5954"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041629","Fam104a","11","113.672737","8.8012","1.1406","7.6606"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041654","Slc39a11","11","113.447466","8.8012","1.1542","7.647"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000041695","Kcnj2","11","111.071492","8.8012","1.3023","7.4989"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000051043","Gprc5c","11","114.861884","8.8012","1.2772","7.524"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000051497","Kcnj16","11","110.998","8.8012","1.2163","7.5849"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000062391","4932435O22Rik","11","114.43113","8.8012","1.1691","7.6321"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000081666","Gm11677","11","111.725136","8.8012","1.1914","7.6098"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000082272","Gm11675","11","111.276516","8.8012","1.5344","7.2668"
"ENSMUSG00000073761","4933427I04Rik","11","112.893651","ENSMUSG00000087259","2610035D17Rik","11","113.122866","8.8012","1.2989","7.5023"
