"target_id","target_symbol","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","int_effect_lod","int_effect_w_mediator_lod","diff"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028194","Ddah1","3","145.826476","10.2667","9.8507","0.416"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000005034","Prkacb","3","146.77127","10.2667","10.2961","-0.0294"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036863","Syde2","3","146.004795","10.2667","10.0827","0.184"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000011008","Mcoln2","3","146.172673","10.2667","9.7907","0.476"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028187","Rpf1","3","146.513886","10.2667","10.3195","-0.0528"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028188","Spata1","3","146.478478","10.2667","10.1565","0.1102"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028189","Ctbs","3","146.45816","10.2667","10.1958","0.0709"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028191","Bcl10","3","145.92933","10.2667","10.1704","0.0963"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028195","Cyr61","3","145.648478","10.2667","10.0024","0.2643"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000028197","Col24a1","3","145.422242","10.2667","10.13","0.1367"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036745","Ttll7","3","146.918188","10.2667","10.4262","-0.1595"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036825","Ssx2ip","3","146.42239","10.2667","9.8949","0.3718"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036832","Lpar3","3","146.253588","10.2667","9.9761","0.2906"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036853","Mcoln3","3","146.129632","10.2667","10.3281","-0.0614"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000036873","2410004B18Rik","3","145.941422","10.2667","9.9052","0.3615"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000048652","Samd13","3","146.665394","10.2667","10.0966","0.1701"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000068523","Gng5","3","146.502703","10.2667","10.2384","0.0283"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000070343","Gm10288","3","146.83907","10.2667","10.2097","0.057"
"ENSMUSP00000104329","Myh3","3","147.43051","ENSMUSG00000074182","Znhit6","3","145.590726","10.2667","9.896","0.3707"
