"lodcolumn","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSG00000062480","Acat3","17",12.923833,12.932118,12.940402,"19",47.649099,"UNC30414168",13.0836991968014,FALSE
"ENSMUSG00000044456","Rin3","12",102.283048,102.336952,102.390855,"12",98.616962,"UNC120210236",11.6535143051984,TRUE
"ENSMUSG00000097258","Gm26767","9",97.068183,97.070806,97.073429,"X",47.904924,"UNC30797073",11.5854872162237,FALSE
"ENSMUSG00000021066","Atl1","12",69.893105,69.928595,69.964085,"12",33.086409,"UNC20857774",11.5129484395261,FALSE
"ENSMUSG00000031849","Comp","8",70.373548,70.377806,70.382065,"18",65.191166,"UNC29455610",10.7759259662047,FALSE
"ENSMUSG00000083061","Gm12191","11",49.67871,49.678884,49.679057,"15",75.774255,"UNC25907578",10.4610778027048,FALSE
"ENSMUSG00000020544","Cox11","11",90.638173,90.641552,90.644931,"3",53.003701,"UNC5273993",10.3067293962232,FALSE
"ENSMUSG00000027573","Gid8","2",180.710117,180.714425,180.718733,"14",106.660308,"UNC24682517",10.2271988945626,FALSE
"ENSMUSG00000004462","Tbccd1","16",22.813215,22.835392,22.857569,"16",10.55963,"JAX00413749",10.1966046282066,FALSE
"ENSMUSG00000039221","Rpl22l1","3",28.805436,28.806394,28.807352,"2",75.405694,"UNC3349167",10.1947052198743,FALSE
"ENSMUSG00000026385","Dbi","1",120.11328,120.117179,120.121078,"11",59.48486,"UNC19729035",10.1921163322868,FALSE
"ENSMUSG00000025902","Sox17","1",4.490928,4.49367,4.496413,"3",136.261195,"UNC6322415",10.1050002150543,FALSE
"ENSMUSG00000070594","Gm4788","1",139.697635,139.739437,139.781239,"18",65.97103,"JAX00462739",10.0511742272918,FALSE
"ENSMUSG00000071552","Tigit","16",43.648861,43.656522,43.664184,"5",68.158329,"UNC9393027",9.89781953910759,FALSE
"ENSMUSG00000021260","Hhipl1","12",108.30627,108.317285,108.3283,"10",24.405459,"UNC17593936",9.87498933587297,FALSE
"ENSMUSG00000048550","Thnsl1","2",21.205724,21.210366,21.215009,"3",143.627456,"UNC6434214",9.85562288455301,FALSE
"ENSMUSG00000037007","Zfp113","5",138.139702,138.147723,138.155744,"17",89.102627,"UNC28567135",9.82923843768494,FALSE
"ENSMUSG00000074649","BC029722","2",155.81773,155.818578,155.819426,"6",98.507123,"UNC11679555",9.82831291915243,FALSE
"ENSMUSG00000079015","Serpina1c","12",103.894926,103.899906,103.904887,"6",142.772159,"UNC12273863",9.81320865210923,FALSE
"ENSMUSG00000026563","Tada1","1",166.379097,166.386359,166.393621,"11",61.5449,"UNC19753407",9.80540992778941,FALSE
"ENSMUSG00000049624","Slc17a5","9",78.536488,78.562264,78.588041,"2",33.246023,"UNC2845901",9.76910883957928,FALSE
"ENSMUSG00000014932","Yes1","5",32.611171,32.649118,32.687066,"14",63.234044,"UNC24109881",9.76786150797177,FALSE
"ENSMUSG00000034532","Fbxo16","14",65.266701,65.294101,65.321501,"4",45.885991,"UNC7169700",9.76526064654403,FALSE
"ENSMUSG00000033705","Stard9","2",120.629126,120.680512,120.731897,"16",43.939248,"UNC26721432",9.74423465683099,FALSE
"ENSMUSG00000083411","Rpl30-ps10","X",71.803688,71.803861,71.804034,"15",75.788232,"JAX00406072",9.73336521192867,FALSE
