"target_id","target_symbol","gene_chr","gene_pos","qtl_chr","qtl_pos","mediator_id","mediator_symbol","mediator_chr","mediator_pos","intscan_w_candidate","addscan_w_candidate","int_effect_w_candidate","int_effect_lod","diff"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000020326","Ccng1","11","40.751932","2.15463399496733","0.873303959008513","1.2813","10.3257","9.0444"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000082390","Gm12136","11","40.569921","2.35490568699674","1.03180587425493","1.3231","10.3257","9.0026"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000069910","Spdl1","11","34.821416","2.09169669605573","0.734794407017584","1.3569","10.3257","8.9688"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000087172","Gm12153","11","44.047038","2.292847470314","0.935748836266914","1.3571","10.3257","8.9686"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000087318","Gm12114","11","33.074536","2.33269426704436","0.958739939929034","1.374","10.3257","8.9517"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000040594","Ranbp17","11","33.36277","2.52923575896867","1.14259564654863","1.3866","10.3257","8.9391"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000085772","D630024D03Rik","11","31.807318","2.31306810364837","0.923230617386395","1.3898","10.3257","8.9359"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000032878","Ccdc85a","11","28.485004","2.35487273208691","0.949883235890064","1.405","10.3257","8.9207"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000040850","Psme4","11","30.826044","2.26676277952539","0.860992522860649","1.4058","10.3257","8.9199"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000085893","Gm12091","11","29.602198","2.44985279134704","1.04392104317337","1.4059","10.3257","8.9198"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000020315","Sptbn1","11","30.183785","2.43204982025245","1.02239966170055","1.4097","10.3257","8.9161"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000020315","Sptbn1","11","30.183785","2.43204982025245","1.02239966170055","1.4097","10.3257","8.916"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000057113","Npm1","11","33.157746","2.23929504856941","0.827115555336704","1.4122","10.3257","8.9135"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000004018","Fancl","11","26.429006","2.34270033697956","0.927160156567707","1.4155","10.3257","8.9102"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000073063","Hbq1b","11","32.287374","2.30165764061525","0.884133639513402","1.4175","10.3257","8.9082"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000032889","Gm6685","11","28.339486","2.27872888899061","0.860826174308359","1.4179","10.3257","8.9078"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000081575","Gm12090","11","29.552546","2.29292298052726","0.867869804772933","1.4251","10.3257","8.9006"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000007653","Gabrb2","11","42.524392","2.44439823388953","1.01525224287718","1.4291","10.3257","8.8966"
"ENSMUSP00000044548","Rbm8a","7","96.631854","11","35.77327","ENSMUSG00000044056","Efcab9","11","32.527416","2.18305405230831","0.753119078119915","1.4299","10.3257","8.8958"
